CCLE_name	Chromosome	Start	End	Num_Probes	Segment_Mean
CCL_B	1	233528622	240392877	5254	-0.3169
CCL_B	1	240392878	240395122	6	1.0587
CCL_B	1	240395123	248743320	5742	-0.4243
CCL_B	1	248743321	248813926	38	-2.0752
CCL_B	1	248813927	248866620	33	-0.2991
CCL_B	1	248866621	248877275	7	0.5737
CCL_B	1	248877276	249224388	99	-0.4769
CCL_B	2	12784	4200557	2983	0.0711
CCL_B	2	4200558	4227040	46	-0.3478
CCL_B	2	4227041	34700354	21063	0.0753
CCL_B	2	34700355	34737110	45	-2.5794
CCL_B	2	34737111	41238339	4821	0.0987
CCL_B	2	41238340	41238645	5	1.3331
CCL_B	2	41238646	41248560	18	0.5291
CCL_B	2	41248561	52749196	8188	0.085
CCL_B	2	52749197	52756817	7	-1.3433
CCL_B	2	52756818	55324976	2012	0.0781
CCL_B	2	55324977	55329360	15	0.6477
CCL_B	2	55329361	86945378	19933	0.0879
CCL_B	2	86945379	86962130	2	-2.5094
CCL_B	2	86962131	89132095	746	0.0875
CCL_B	2	89132096	89159534	40	0.7832
CCL_B	2	89159535	89249937	43	1.8313
CCL_B	2	89249938	89500818	83	0.9791
CCL_B	2	89500819	97739652	1139	0.0602
CCL_B	2	97739653	97861632	47	-1.0405
CCL_B	2	97861633	97981467	24	-0.0913
CCL_B	2	97981468	98161949	23	-1.245
CCL_B	2	98161950	110472361	7693	0.1011
CCL_B	2	110472362	110607560	3	2.1454
CCL_B	2	110607561	133684020	13466	0.0822
CCL_B	2	133684021	133873815	166	0.6829
CCL_B	2	133873816	134042801	110	0.0798
CCL_B	2	134042802	134082608	28	-0.415
CCL_B	2	134082609	141514228	4784	0.0921
CCL_B	2	141514229	141714749	100	-1.4649
CCL_B	2	141714750	141730795	11	-4.3341
CCL_B	2	141730796	142278174	399	-0.9478
CCL_B	2	142278175	146863244	2762	0.1643
CCL_B	2	146863245	146872370	24	-2.1898
CCL_B	2	146872371	184366756	23008	0.178
CCL_B	2	184366757	184368625	2	-2.0334
CCL_B	2	184368626	194831173	5905	0.1544
CCL_B	2	194831174	195045514	131	0.8012
CCL_B	2	195045515	221795418	16533	0.0894
CCL_B	2	221795419	221796408	2	1.5711
CCL_B	2	221796409	225857911	2754	0.1074
CCL_B	2	225857912	225859265	2	2.3378
CCL_B	2	225859266	226925846	692	0.0496
CCL_B	2	226925847	226927390	2	-1.2894
CCL_B	2	226927391	243089456	10077	0.0849
CCL_B	3	60345	1848353	1604	-0.1657
CCL_B	3	1848354	1854021	3	1.5946
CCL_B	3	1854022	20314123	13691	-0.1088
CCL_B	3	20314124	20322082	2	-4.3452
CCL_B	3	20322083	20652829	229	-0.1067
CCL_B	3	20652830	23567724	2154	-0.422
CCL_B	3	23567725	23569159	2	-2.5101
CCL_B	3	23569160	46792461	15532	-0.378
CCL_B	3	46792462	46854534	41	0.618
CCL_B	3	46854535	53022908	2490	-0.4081
CCL_B	3	53022909	53038699	32	0.0205
CCL_B	3	53038700	54205793	769	-0.4407
CCL_B	3	54205794	54210347	3	-2.2096
CCL_B	3	54210348	60460664	4660	-0.4077
CCL_B	3	60460665	60464128	8	-1.4821
CCL_B	3	60464129	60647515	210	-0.6315
CCL_B	3	60647516	60657167	4	-2.3769
CCL_B	3	60657168	60683484	27	-0.9733
CCL_B	3	60683485	65786367	4400	-0.3697
CCL_B	3	65786368	65937591	128	-0.9764
CCL_B	3	65937592	68746211	1820	-0.4094
CCL_B	3	68746212	68748085	14	-1.6319
CCL_B	3	68748086	84699775	9929	-0.3999
CCL_B	3	84699776	84702148	13	-1.6815
CCL_B	3	84702149	95461493	4133	-0.3755
CCL_B	3	95461494	95468395	2	-3.3212
CCL_B	3	95468396	114981516	11515	-0.3803
CCL_B	3	114981517	115046516	51	-1.2572
CCL_B	3	115046517	136021025	13133	-0.3965
CCL_B	3	136021026	136031983	2	-3.1878
CCL_B	3	136031984	138880325	1417	-0.3802
CCL_B	3	138880326	162510462	14832	0.6914
CCL_B	3	162510463	162627608	72	1.6008
CCL_B	3	162627609	162716122	70	0.7122
CCL_B	3	162716123	162722860	2	2.2508
CCL_B	3	162722861	163658948	504	0.6723
CCL_B	3	163658949	163659024	5	1.9443
CCL_B	3	163659025	169349403	3327	0.72
CCL_B	3	169349404	169351531	2	2.3948
CCL_B	3	169351532	186406034	10540	0.6673
CCL_B	3	186406035	186409499	2	2.0501
CCL_B	3	186409500	192876324	4735	0.6945
CCL_B	3	192876325	192878707	5	-0.3351
CCL_B	3	192878708	192884669	15	-1.7209
CCL_B	3	192884670	197896118	2703	0.6866
CCL_B	4	12281	51473	44	-0.5139
CCL_B	4	51474	60423	6	-1.336
CCL_B	4	60424	5316084	2554	-0.3948
CCL_B	4	5316085	5320360	2	2.7578
CCL_B	4	5320361	9451635	2627	-0.3871
CCL_B	4	9451636	9482716	10	-1.4984
CCL_B	4	9482717	10212275	543	-0.3909
CCL_B	4	10212276	10232856	29	-2.4846
CCL_B	4	10232857	34782777	16982	-0.3783
CCL_B	4	34782778	34827298	38	-2.8174
CCL_B	4	34827299	69352550	19480	-0.3885
CCL_B	4	69352551	69487657	69	0.3534
CCL_B	4	69487658	70125577	327	-0.424
CCL_B	4	70125578	70279490	78	0.0456
CCL_B	4	70279491	115174511	27304	-0.3711
CCL_B	4	115174512	115184240	24	0.635
CCL_B	4	115184241	151876378	21657	-0.3832
CCL_B	4	151876379	151884308	23	0.586
CCL_B	4	151884309	156068792	2601	-0.4121
CCL_B	4	156068793	156070382	3	-1.8515
CCL_B	4	156070383	156968231	660	-0.4196
CCL_B	4	156968232	156968385	2	2.526
CCL_B	4	156968386	172372115	9766	-0.3831
CCL_B	4	172372116	172379073	12	-1.3067
CCL_B	4	172379074	172842030	280	-0.4041
CCL_B	4	172842031	172848301	3	0.7713
CCL_B	4	172848302	172988538	113	-0.4333
CCL_B	4	172988539	172992756	12	-1.9927
CCL_B	4	172992757	189221309	10937	-0.3848
CCL_B	4	189221310	189221399	2	-3.2569
CCL_B	4	189221400	190195370	783	-0.3261
CCL_B	4	190195371	190199517	3	-3.3173
CCL_B	4	190199518	191027923	383	-0.351
CCL_B	5	15532	698421	308	0.9415
CCL_B	5	698422	822861	50	0.2135
CCL_B	5	822862	1092572	96	0.8441
CCL_B	5	1092573	1102675	2	2.6161
CCL_B	5	1102676	12788065	9760	0.9142
CCL_B	5	12788066	12838255	17	0.2389
CCL_B	5	12838256	21450209	5538	1.0217
CCL_B	5	21450210	21452467	5	-1.1968
CCL_B	5	21452468	21566828	37	0.607
CCL_B	5	21566829	46197774	14966	1.0112
CCL_B	5	46197775	46204367	2	2.965
CCL_B	5	46204368	46261157	13	1.1706
CCL_B	5	46261158	46275857	8	-2.9899
CCL_B	5	46275858	47911052	19	0.918
CCL_B	5	47911053	57323836	5059	0.129
CCL_B	5	57323837	57332311	22	2.6542
CCL_B	5	57332312	57335825	7	1.1963
CCL_B	5	57335826	64319973	4381	0.121
CCL_B	5	64319974	64326590	2	-1.7342
CCL_B	5	64326591	65834806	912	0.1157
CCL_B	5	65834807	65840655	4	-0.9691
CCL_B	5	65840656	72530159	3163	0.1163
CCL_B	5	72530160	72533698	2	1.7419
CCL_B	5	72533699	117388750	27815	0.103
CCL_B	5	117388751	117396712	6	-0.8485
CCL_B	5	117396713	150200721	20409	0.1066
CCL_B	5	150200722	150218017	8	0.9517
CCL_B	5	150218018	162606053	8398	0.2747
CCL_B	5	162606054	162649341	33	-0.238
CCL_B	5	162649342	162860179	143	0.3172
CCL_B	5	162860180	162864545	2	-2.7329
CCL_B	5	162864546	166649674	2529	0.3615
CCL_B	5	166649675	166661209	3	2.2287
CCL_B	5	166661210	180790320	9377	0.3392
CCL_B	6	149661	6030071	4855	-0.4041
CCL_B	6	6030072	6035740	3	-3.5197
CCL_B	6	6035741	22104949	12085	-0.4
CCL_B	6	22104950	23060993	775	0.1214
CCL_B	6	23060994	23062626	2	-1.802
CCL_B	6	23062627	24323923	915	0.0933
CCL_B	6	24323924	24327495	2	-1.4898
CCL_B	6	24327496	25014585	496	0.0817
CCL_B	6	25014586	26049608	716	-0.4141
CCL_B	6	26049609	26235640	110	-4.6281
CCL_B	6	26235641	26734719	301	-0.4346
CCL_B	6	26734720	26760208	16	-1.9259
CCL_B	6	26760209	29836669	1440	-0.3987
CCL_B	6	29836670	29850235	20	-1.4823
CCL_B	6	29850236	30046176	109	-0.4447
CCL_B	6	30046177	31238358	518	0.3791
CCL_B	6	31238359	32590239	609	-0.3434
CCL_B	6	32590240	32602188	7	-1.9374
CCL_B	6	32602189	32623249	8	-0.3474
CCL_B	6	32623250	32638615	6	1.0759
CCL_B	6	32638616	33051177	279	-0.3906
CCL_B	6	33051178	33055633	3	-2.3935
CCL_B	6	33055634	33938371	523	-0.3914
CCL_B	6	33938372	33943645	7	-2.7783
CCL_B	6	33943646	34132493	121	-0.4089
CCL_B	6	34132494	34134618	2	1.2333
CCL_B	6	34134619	35689168	784	-0.3834
CCL_B	6	35689169	35695499	2	-2.8931
CCL_B	6	35695500	53931190	12000	-0.3909
CCL_B	6	53931191	53933601	6	-2.4243
CCL_B	6	53933602	55621509	1070	-0.2991
CCL_B	6	55621510	56633598	628	0.4707
CCL_B	6	56633599	57058501	197	0.8535
CCL_B	6	57058502	57299166	115	-0.2963
CCL_B	6	57299167	57394154	44	0.2355
CCL_B	6	57394155	57526085	36	-0.143
CCL_B	6	57526086	58140371	235	0.4926
CCL_B	6	58140372	60330578	250	-0.2922
CCL_B	6	60330579	62206674	91	0.6476
CCL_B	6	62206675	62242128	22	0.2208
CCL_B	6	62242129	62701723	304	0.6545
CCL_B	6	62701724	77438200	9304	0.1213
CCL_B	6	77438201	77452387	15	-3.926
CCL_B	6	77452388	77456915	6	-1.7229
CCL_B	6	77456916	170918763	60861	0.1179
CCL_B	6	170918764	171051005	5	-0.7593
CCL_B	7	43355	29669654	21472	0.6456
CCL_B	7	29669655	29690571	10	-0.0845
CCL_B	7	29690572	38389404	6066	0.5951
CCL_B	7	38389405	38397261	4	-1.887
CCL_B	7	38397262	54386507	11007	0.6395
CCL_B	7	54386508	54390002	5	6.8743
CCL_B	7	54390003	61937650	2139	0.6378
CCL_B	7	61937651	64594635	996	0.0632
CCL_B	7	64594636	64651494	8	0.9481
CCL_B	7	64651495	64788899	68	0.0533
CCL_B	7	64788900	64856763	40	0.4173
CCL_B	7	64856764	70043792	2763	0.0128
CCL_B	7	70043793	70107079	57	-1.2151
CCL_B	7	70107080	79732967	4775	0.0303
CCL_B	7	79732968	79824506	68	0.4465
CCL_B	7	79824507	83179158	2297	0.1259
CCL_B	7	83179159	87170906	2458	1.1473
CCL_B	7	87170907	121090361	20152	0.5733
CCL_B	7	121090362	126045228	3034	-0.3598
CCL_B	7	126045229	126046878	15	0.7354
CCL_B	7	126046879	143914612	11291	-0.3989
CCL_B	7	143914613	143942595	6	0.3501
CCL_B	7	143942596	143952901	5	0.9547
CCL_B	7	143952902	144003032	10	0.2279
CCL_B	7	144003033	150565643	4095	-0.4107
CCL_B	7	150565644	150573567	7	-4.3031
CCL_B	7	150573568	157055641	4306	-0.4164
CCL_B	7	157055642	157083487	17	0.2392
CCL_B	7	157083488	159127004	1276	-0.3844
CCL_B	8	31254	161947	6	-0.5782
CCL_B	8	161948	593992	316	-5.0858
CCL_B	8	593993	595883	8	-1.1906
CCL_B	8	595884	1360226	525	-5.2033
CCL_B	8	1360227	1367645	38	-3.161
CCL_B	8	1367646	2076341	563	-5.3052
CCL_B	8	2076342	2084027	27	-2.5504
CCL_B	8	2084028	2210349	123	-5.3726
CCL_B	8	2210350	2292130	79	-3.4065
CCL_B	8	2292131	2697407	371	-5.2469
CCL_B	8	2697408	2716155	55	-3.6391
CCL_B	8	2716156	3787236	1288	-5.4701
CCL_B	8	3787237	3790662	22	-2.3374
CCL_B	8	3790663	3846273	92	-5.7507
CCL_B	8	3846274	3905452	85	0.3668
CCL_B	8	3905453	3932783	44	-0.0255
CCL_B	8	3932784	3945500	7	-2.551
CCL_B	8	3945501	3952806	13	-0.1075
CCL_B	8	3952807	3988095	64	0.4822
CCL_B	8	3988096	4002199	22	-0.1766
CCL_B	8	4002200	4002484	3	-2.6909
CCL_B	8	4002485	4168813	395	-0.0217
CCL_B	8	4168814	4337854	268	0.3696
CCL_B	8	4337855	5075620	938	1.1477
CCL_B	8	5075621	5075795	6	2.427
CCL_B	8	5075796	5575413	663	1.1042
CCL_B	8	5575414	5579847	10	1.9136
CCL_B	8	5579848	5947809	485	1.0721
CCL_B	8	5947810	7244199	1298	0.3356
CCL_B	8	7244200	7818414	151	-0.7159
CCL_B	8	7818415	7959266	31	0.3255
CCL_B	8	7959267	8062781	33	-0.1318
CCL_B	8	8062782	8385973	289	0.457
CCL_B	8	8385974	8387374	4	-2.2008
CCL_B	8	8387375	11080890	2323	0.4071
CCL_B	8	11080891	11083950	2	-2.0352
CCL_B	8	11083951	11968638	604	0.4057
CCL_B	8	11968639	12017715	6	-2.6278
CCL_B	8	12017716	12254206	49	0.4118
CCL_B	8	12254207	12431246	61	-0.3177
CCL_B	8	12431247	12647558	102	0.3545
CCL_B	8	12647559	12653029	4	-1.6035
CCL_B	8	12653030	14235193	1544	0.4128
CCL_B	8	14235194	14239090	2	-1.9688
CCL_B	8	14239091	14861439	650	0.4241
CCL_B	8	14861440	14925010	64	-0.4278
CCL_B	8	14925011	14963591	43	0.4692
CCL_B	8	14963592	16115802	1007	-0.3762
CCL_B	8	16115803	16189050	54	2.1637
CCL_B	8	16189051	16209603	14	2.8516
CCL_B	8	16209604	16259422	45	1.8728
CCL_B	8	16259423	16280641	30	2.8103
CCL_B	8	16280642	17032264	596	1.8901
CCL_B	8	17032265	17773337	767	1.4321
CCL_B	8	17773338	24973315	5501	0.4381
CCL_B	8	24973316	24982028	21	1.11
CCL_B	8	24982029	25658114	514	0.4477
CCL_B	8	25658115	26137831	407	-0.3481
CCL_B	8	26137832	26206541	29	0.1905
CCL_B	8	26206542	32686193	4508	-0.386
CCL_B	8	32686194	32690259	4	-1.7799
CCL_B	8	32690260	42443539	5778	-0.411
CCL_B	8	42443540	48457906	1049	0.4516
CCL_B	8	48457907	48463626	2	2.4009
CCL_B	8	48463627	66646454	11418	0.2758
CCL_B	8	66646455	67679767	545	0.7463
CCL_B	8	67679768	72215639	2756	-0.3111
CCL_B	8	72215640	72218231	7	-1.2481
CCL_B	8	72218232	100817350	17085	-0.2702
CCL_B	8	100817351	107782995	4332	0.4948
CCL_B	8	107782996	107788464	3	-0.9071
CCL_B	8	107788465	112294380	2695	0.5245
CCL_B	8	112294381	112297770	8	-0.9807
CCL_B	8	112297771	146298155	22934	0.5355
CCL_B	9	46587	12498144	11666	0.4056
CCL_B	9	12498145	17662218	4266	-0.4157
CCL_B	9	17662219	17669107	4	1.2557
CCL_B	9	17669108	22796261	4138	-0.4251
CCL_B	9	22796262	23362460	379	0.4285
CCL_B	9	23362461	23375986	8	-3.24
CCL_B	9	23375987	37033260	9504	0.4294
CCL_B	9	37033261	37034643	2	-1.4339
CCL_B	9	37034644	38796209	1205	0.4051
CCL_B	9	38796210	39034377	19	-0.1507
CCL_B	9	39034378	40787845	104	0.4434
CCL_B	9	40787846	40861610	4	1.818
CCL_B	9	40861611	43682755	93	0.3865
CCL_B	9	43682756	43769804	10	1.4287
CCL_B	9	43769805	44736741	59	0.4396
CCL_B	9	44736742	44785348	16	-0.6907
CCL_B	9	44785349	68185016	170	0.2955
CCL_B	9	68185017	68199231	8	-1.178
CCL_B	9	68199232	79770569	6729	0.4454
CCL_B	9	79770570	79777076	24	0.9816
CCL_B	9	79777077	115777711	25420	0.4347
CCL_B	9	115777712	115784179	5	-0.6122
CCL_B	9	115784180	138212736	14924	0.4607
CCL_B	9	138212737	138217104	3	1.8058
CCL_B	9	138217105	141091394	1112	0.4791
CCL_B	10	72759	6411143	5414	-0.3871
CCL_B	10	6411144	6415117	6	0.9574
CCL_B	10	6415118	20853236	11586	-0.421
CCL_B	10	20853237	20853518	2	-2.6783
CCL_B	10	20853519	32661758	8164	-0.4126
CCL_B	10	32661759	38834404	3893	0.465
CCL_B	10	38834405	42523451	78	0.0814
CCL_B	10	42523452	45660313	2087	-0.4511
CCL_B	10	45660314	45664170	2	1.6045
CCL_B	10	45664171	48806288	951	-0.3869
CCL_B	10	48806289	49038466	10	0.4952
CCL_B	10	49038467	49348399	19	-0.0888
CCL_B	10	49348400	51266083	1346	-0.446
CCL_B	10	51266084	51423220	2	4.1613
CCL_B	10	51423221	56618940	3709	-0.3489
CCL_B	10	56618941	56619850	2	-2.3812
CCL_B	10	56619851	56681683	31	-0.3453
CCL_B	10	56681684	56685665	2	-4.2226
CCL_B	10	56685666	58937730	1581	-0.338
CCL_B	10	58937731	58963437	23	0.462
CCL_B	10	58963438	59005901	21	-0.2814
CCL_B	10	59005902	59041027	23	0.5111
CCL_B	10	59041028	61364122	1685	-0.3379
CCL_B	10	61364123	61365373	7	-1.7079
CCL_B	10	61365374	96495491	23358	-0.402
CCL_B	10	96495492	135433708	26941	0.0934
CCL_B	10	135433709	135506704	6	-0.3159
CCL_B	11	198510	2918499	1087	-0.1455
CCL_B	11	2918500	3032664	58	0.3321
CCL_B	11	3032665	4972081	1339	-0.2105
CCL_B	11	4972082	4976605	28	-0.7957
CCL_B	11	4976606	25655074	15579	-0.1712
CCL_B	11	25655075	25661705	2	-2.1436
CCL_B	11	25661706	30343893	3117	-0.1067
CCL_B	11	30343894	30418198	47	2.3549
CCL_B	11	30418199	38747909	6004	1.5191
CCL_B	11	38747910	40004987	727	0.9802
CCL_B	11	40004988	48707785	5450	-0.0084
CCL_B	11	48707786	48710426	4	1.2149
CCL_B	11	48710427	49759271	419	0.0042
CCL_B	11	49759272	49763424	6	-1.391
CCL_B	11	49763425	51111557	364	0.0055
CCL_B	11	51111558	51145176	2	-2.4387
CCL_B	11	51145177	53133036	144	0.1535
CCL_B	11	53133037	54766092	4	-1.7505
CCL_B	11	54766093	54952975	27	0.1244
CCL_B	11	54952976	54995843	6	-2.1681
CCL_B	11	54995844	55037864	9	-0.6761
CCL_B	11	55037865	55376389	202	0.0638
CCL_B	11	55376390	55433095	35	0.472
CCL_B	11	55433096	57116883	1136	0.1203
CCL_B	11	57116884	57183023	43	0.4273
CCL_B	11	57183024	62897531	3214	0.0739
CCL_B	11	62897532	68810164	2420	0.5219
CCL_B	11	68810165	69269718	272	2.573
CCL_B	11	69269719	69902170	357	2.2253
CCL_B	11	69902171	70744493	482	1.7669
CCL_B	11	70744494	70776741	18	1.0816
CCL_B	11	70776742	70808412	21	0.7665
CCL_B	11	70808413	74024773	1615	-0.4318
CCL_B	11	74024774	74027879	2	-2.7159
CCL_B	11	74027880	107238663	22841	-0.405
CCL_B	11	107238664	107245745	6	-2.2238
CCL_B	11	107245746	134944770	19923	-0.4273
CCL_B	12	150442	2240875	1263	-0.3827
CCL_B	12	2240876	2257971	41	-2.4727
CCL_B	12	2257972	9635889	4888	-0.4107
CCL_B	12	9635890	9731630	24	-2.4329
CCL_B	12	9731631	11218136	1039	-0.393
CCL_B	12	11218137	11246703	13	0.4663
CCL_B	12	11246704	27130080	11043	-0.3905
CCL_B	12	27130081	34766986	5303	-1.2215
CCL_B	12	34766987	34845167	10	-0.6401
CCL_B	12	34845168	75370123	22791	0.1271
CCL_B	12	75370124	87808502	7762	-0.3354
CCL_B	12	87808503	87811366	2	1.8935
CCL_B	12	87811367	99428028	7763	-0.3863
CCL_B	12	99428029	99793553	223	-1.2566
CCL_B	12	99793554	99803160	34	-0.4676
CCL_B	12	99803161	99811308	13	-1.1367
CCL_B	12	99811309	99867032	36	-0.4011
CCL_B	12	99867033	100069207	118	-0.9285
CCL_B	12	100069208	110737817	7067	-0.3932
CCL_B	12	110737818	111934607	564	-0.0582
CCL_B	12	111934608	114294112	1442	-0.4067
CCL_B	12	114294113	114295034	2	-2.3532
CCL_B	12	114295035	131734641	12528	-0.2976
CCL_B	12	131734642	131735249	4	-1.4276
CCL_B	12	131735250	133778189	955	-0.2127
CCL_B	13	19026949	21696728	1477	0.1041
CCL_B	13	21696729	21699486	2	-2.1467
CCL_B	13	21699487	21896177	131	0.1153
CCL_B	13	21896178	21896627	2	-2.057
CCL_B	13	21896628	23632769	1284	0.092
CCL_B	13	23632770	23635855	11	-2.6501
CCL_B	13	23635856	57758279	23201	0.0909
CCL_B	13	57758280	57763218	5	1.2351
CCL_B	13	57763219	57784047	28	2.5899
CCL_B	13	57784048	115108397	38133	0.0745
CCL_B	14	19002124	19142862	14	0.352
CCL_B	14	19142863	20279769	101	-0.1711
CCL_B	14	20279770	20319074	14	-0.8198
CCL_B	14	20319075	40611425	12969	-0.0549
CCL_B	14	40611426	40617542	2	-2.821
CCL_B	14	40617543	45783879	3131	-0.0727
CCL_B	14	45783880	54377345	5409	0.2392
CCL_B	14	54377346	69970661	9974	0.803
CCL_B	14	69970662	70182965	144	1.7274
CCL_B	14	70182966	73998448	2538	0.9696
CCL_B	14	73998449	74025447	9	-1.7596
CCL_B	14	74025448	82028374	5254	0.9372
CCL_B	14	82028375	88500508	4354	0.0341
CCL_B	14	88500509	88502273	2	-2.1942
CCL_B	14	88502274	106208980	11057	8e-04
CCL_B	14	106208981	106329213	62	0.5574
CCL_B	14	106329214	106470288	39	1.0166
CCL_B	14	106470289	106484668	4	-0.925
CCL_B	14	106484669	106547410	26	1.1984
CCL_B	14	106547411	106752571	94	1.8418
CCL_B	14	106752572	106808998	25	1.0731
CCL_B	14	106808999	106918378	83	0.4322
CCL_B	14	106918379	107285437	223	-0.0071
CCL_B	15	20016328	22282715	306	-0.3573
CCL_B	15	22282716	22292125	4	-2.5664
CCL_B	15	22292126	25055022	1346	-0.255
CCL_B	15	25055023	25055479	4	-2.1485
CCL_B	15	25055480	30545261	3470	-0.2709
CCL_B	15	30545262	30562168	6	-1.8128
CCL_B	15	30562169	32805715	1172	-0.2762
CCL_B	15	32805716	32817531	2	-1.9899
CCL_B	15	32817532	36359316	2645	-0.1842
CCL_B	15	36359317	36361469	2	-2.381
CCL_B	15	36361470	37050228	496	-0.1263
CCL_B	15	37050229	37054600	3	-1.9103
CCL_B	15	37054601	39236308	1507	-0.23
CCL_B	15	39236309	39237993	3	-3.4726
CCL_B	15	39237994	54197669	8874	-0.2471
CCL_B	15	54197670	54201929	2	-3.0341
CCL_B	15	54201930	65815522	7941	-0.2525
CCL_B	15	65815523	65817955	2	-2.9962
CCL_B	15	65817956	82089131	9878	-0.2463
CCL_B	15	82089132	82092852	2	-2.5924
CCL_B	15	82092853	92015766	6216	-0.2501
CCL_B	15	92015767	92020866	2	-2.5702
CCL_B	15	92020867	102469040	8123	-0.2423
CCL_B	16	60777	12648918	9420	0.3364
CCL_B	16	12648919	12649621	2	-2.2537
CCL_B	16	12649622	19945006	4096	0.3433
CCL_B	16	19945007	19968808	29	-0.3955
CCL_B	16	19968809	32588761	6605	0.3182
CCL_B	16	32588762	34198649	234	0.0517
CCL_B	16	34198650	35091664	412	-0.343
CCL_B	16	35091665	35253443	37	0.2918
CCL_B	16	35253444	55816675	6486	-0.1034
CCL_B	16	55816676	55826000	4	-1.9265
CCL_B	16	55826001	60042629	2639	-0.1008
CCL_B	16	60042630	60043766	2	-1.8518
CCL_B	16	60043767	79034368	12649	-0.0896
CCL_B	16	79034369	79053672	33	-6.2245
CCL_B	16	79053673	79057479	21	-3.7999
CCL_B	16	79057480	83263009	4481	-0.0599
CCL_B	16	83263010	83264900	3	-1.8162
CCL_B	16	83264901	83358462	137	-0.0468
CCL_B	16	83358463	83661787	367	-1.0227
CCL_B	16	83661788	83794775	220	-3.8878
CCL_B	16	83794776	89852343	4326	-0.0714
CCL_B	16	89852344	90163498	173	-0.697
CCL_B	16	90163499	90287535	4	0.5
CCL_B	17	526	6100790	3372	0.3247
CCL_B	17	6100791	6100927	2	-1.7778
CCL_B	17	6100928	16655816	7124	0.3252
CCL_B	17	16655817	16740892	13	1.0439
CCL_B	17	16740893	16741656	2	-1.7787
CCL_B	17	16741657	18337627	919	0.3673
CCL_B	17	18337628	18456354	26	-2.1361
CCL_B	17	18456355	34438553	6925	0.1526
CCL_B	17	34438554	34506608	36	-0.6245
CCL_B	17	34506609	34539497	2	2.8032
CCL_B	17	34539498	39422361	2539	0.0926
CCL_B	17	39422362	39431627	24	-1.4147
CCL_B	17	39431628	57109809	10478	0.0818
CCL_B	17	57109810	57119287	2	-1.5072
CCL_B	17	57119288	67884773	5904	0.0803
CCL_B	17	67884774	67887962	2	1.9732
CCL_B	17	67887963	67957700	63	0.1617
CCL_B	17	67957701	67961812	5	-1.054
CCL_B	17	67961813	81049726	7834	0.1086
CCL_B	18	11543	68258	3	-0.6224
CCL_B	18	68259	14662807	10200	0.2739
CCL_B	18	14662808	14682082	2	-1.8138
CCL_B	18	14682083	19602079	668	0.2807
CCL_B	18	19602080	21086046	841	0.6873
CCL_B	18	21086047	21248407	97	0.9713
CCL_B	18	21248408	22666633	1026	0.1773
CCL_B	18	22666634	22930159	138	0.987
CCL_B	18	22930160	30782272	5055	0.0525
CCL_B	18	30782273	78015057	32596	-1.0198
CCL_B	19	90910	2088591	462	0.5126
CCL_B	19	2088592	35849407	16352	0.0441
CCL_B	19	35849408	35866793	24	-0.8267
CCL_B	19	35866794	44906214	4689	0.0496
CCL_B	19	44906215	44906583	2	2.4384
CCL_B	19	44906584	52137082	3413	0.0658
