Gene	CCL_A	CCL_B	CCL_C
ABCC6P1	0.4315	0	0.0297
ABCC6P2	0	0	0.4532
ABCC8	0	0	0.0205
ABCC9	0.1239	0.3947	0.3748
ABCD1	3.5835	3.6973	3.7706
ABCD1P2	0	0	0
ABCD1P3	0	0	0
ABCD1P4	0	0	0
ABCD1P5	0	0	0
ABCD2	0	0	0.0211
ABCD3	6.0201	5.8174	5.2353
ABCD4	4.6765	5.6512	4.4527
ABCE1	7.1199	6.0553	6.682
ABCF1	6.4585	6.7471	6.8704
ABCF2	6.2677	5.0628	6.393
ABCF2P1	0	0	0
ABCF2P2	0	0	0
ABCF3	5.5803	5.6564	5.0252
ABCG1	6.5798	2.0401	0.7308
ABCG2	0.2466	1.4912	1.2714
ABCG4	0.0213	0.2512	0.273
ABCG5	0	0	0.0145
ABCG8	0	0	0
ABHD1	0.1498	0	0.353
ABHD10	6.4343	3.7959	6.0019
ABHD11	5.6245	5.1642	3.6221
ABHD12	7.0075	5.0167	5.6037
ABHD12B	0.4458	1.2046	0.3101
ABHD13	3.8677	2.5496	3.5616
ABHD14A	2.3	2.0509	3.1642
ABHD14A-ACY1	0.7856	0.4762	1.9265
ABHD14B	6.4117	4.9903	6.7311
ABHD15	2.067	2.314	2.9617
ABHD16A	5.5959	4.4272	4.1644
ABHD16B	1.5786	3.1196	2.0722
ABHD17A	3.5818	5.5125	4.3039
ABHD17AP1	0	0	0
ABHD17AP2	0	0	0
ABHD17AP3	0	0	0.0406
ABHD17AP4	0	0	0
ABHD17AP5	0	0.0475	0
ABHD17AP6	0	0	0
ABHD17B	4.1273	4.1472	4.5568
ABHD17C	6.8171	4.3766	6.7496
ABHD2	5.064	4.2425	5.3616
ABHD3	5.1932	5.1726	3.3825
ABHD4	5.9352	4.365	3.4302
ABHD5	4.1854	3.3906	3.7482
ABHD6	3.5516	2.2083	3.6053
ABHD8	1.4147	1.9171	3.5418
ABI1	5.6992	5.2667	4.4048
ABI2	4.2995	4.5568	4.9893
ABI3	0	0	0
ABI3BP	0.2064	0	1.4274
ABL1	4.9375	5.0207	5.3148
ABL2	3.7175	2.4077	4.3143
ABLIM1	8.3082	3.0653	2.8895
ABLIM2	0.4028	1.0518	0.0491
ABLIM3	0	2.4491	2.0221
ABO	0	3.3306	0
ABR	4.6299	4.2688	6.4093
ABRA	0	0	0
ABRACL	4.5457	6.5469	5.6605
ABT1	4.5178	4.4208	4.6545
ABT1P1	0	0	0
ABTB1	5.9323	3.7918	4.4202
ABTB2	2.518	4.7488	3.6221
AC000003.1	0	0	0
AC000003.2	0.0375	0	0
AC000029.1	0	0	0
AC000032.2	0	0	0.1007
AC000036.4	0	0	0
AC000041.8	0	0	0
AC000067.1	0	0	0
AC000068.10	0	0	0
AC000068.5	1.1097	0.9689	0.5092
AC000068.9	0	0	0
AC000077.2	0	0	0
AC000078.5	0	0.9511	0
AC000081.2	0	0	0
AC000089.3	0	2.7217	0
AC000095.9	0	0	0
AC000099.1	0	0	0
AC000110.1	0	0	0
AC000111.3	0	0	0
AC000111.4	0	0	0
AC000111.5	0	0	0
AC000111.6	0	0	0
AC000120.7	0.9434	0	0
AC000123.4	1.2164	0	1.4118
AC000124.1	0	0	0
AC000362.1	0	0	0
AC000367.1	0	0	0
AC000370.2	0	0	0
AC000374.1	0	0	0
AC000403.1	0	0	0
AC002044.4	0	0	0
AC002055.4	4.2372	4.3573	3.5762
AC002056.3	0	0.2728	0
AC002056.5	0	0	0
AC002059.10	0	0	0.4014
AC002064.4	0	0	0
AC002064.5	0	0	0
AC002066.1	0	2.634	0
AC002066.2	0	0	0
AC002069.5	0	0	0
AC002069.6	0	0	0
AC002070.1	0	0	0
AC002075.3	0	0	0
AC002075.4	0	0	0
AC002076.10	0	0	0
AC002115.5	0	0	0
AC002115.9	0	0	0
AC002116.7	0	0.4555	0
AC002116.8	0	1.1093	0.2064
AC002117.1	0.1258	0	0.0942
AC002127.2	0	0	0
AC002127.4	0	0	0
AC002128.4	0	0	0
AC002128.5	0	0	0
AC002306.1	0	0	0
AC002310.10	0	0	0
AC002310.12	2.0483	1.8974	0.9813
AC002310.13	0	0	0
AC002310.17	0	0	0
AC002310.7	0.2524	0	0.0582
AC002314.4	0	0	0
AC002321.1	0	0	0
AC002321.2	0	0	0
AC002331.1	0	0	0
AC002365.1	0	0	0
AC002366.3	0	0	0
AC002368.4	0	0	0
AC002383.2	0	0	0
AC002386.1	0	0	0
AC002395.1	0	0	0
AC002398.11	0.2496	0.3032	0
AC002398.12	0	0	0
AC002398.13	1.9609	0.5209	0.0999
AC002398.5	0	0	0
AC002398.9	0	1.1041	0.3746
AC002400.1	0	0	0
AC002401.1	0	0	0
AC002429.4	0	0	0
AC002429.5	0	0	0
AC002451.1	0	0	0
AC002451.3	0	0	0
AC002454.1	0	0	0.3697
AC002456.2	0	0	1.0639
AC002463.3	0	0	0
AC002465.2	0	0	0
AC002467.7	2.8643	2.2599	2.6061
AC002472.1	0	0	0
AC002472.11	0	0	0
AC002472.13	0	0.0356	0
AC002477.1	0	0	0
AC002480.2	0	0	0
AC002480.3	0	0	0
AC002480.4	0	0	0
AC002480.5	0	0	0
AC002485.1	0	0	0
AC002486.2	0	0	0
AC002486.3	0	0	0
AC002511.1	0	0	0
AC002511.2	0	0	0
AC002511.3	0	0	0
AC002519.6	0	0	0
AC002519.8	0	0	0
AC002523.1	0	0	0
AC002539.1	0	0	0
AC002539.2	0	0	0
AC002542.2	0	0	0
AC002543.2	0	0	0
AC002550.5	0	0	0
AC002551.1	0	0	0
AC002553.1	0	0	0
AC002553.4	0	0	0
AC002558.1	0	0	0
AC002978.1	0	0	0
AC002979.1	0	0	0
AC002981.1	0	0	0
AC002984.2	0	0	0
AC002985.3	0	0	0.576
AC002992.1	0	0	0
AC002994.1	0	0	0
AC003001.1	0	0	0
AC003002.4	0	0	0
AC003002.6	0	0	0.3904
AC003003.5	0	0	0
AC003005.2	0	0	0
AC003005.4	0	0	0
AC003006.1	0	0	0
AC003006.7	0	0	0.5313
AC003009.1	0	0	0
AC003009.2	0	0	0
AC003029.1	0	0	0
AC003035.1	0	0	0
AC003043.1	0	0	0
AC003045.1	0	0	0
AC003051.1	0	0	0
AC003075.4	0	0.0894	0
AC003079.1	0	0	0
AC003080.4	0	0	0
AC003084.2	0	0	0
AC003087.4	0	0	0
AC003088.1	0	0	0.1682
AC003090.1	0	0.0203	0
AC003092.1	0	0	0.0675
AC003092.2	0	0	0
AC003101.1	0	0	0
AC003102.1	0	0	0
AC003102.3	0	0.0506	0.1063
AC003104.1	0	0	0
AC003658.1	0	0	0
AC003664.1	0	0	0
AC003665.1	0	0.1464	0.5799
AC003666.1	0	0	0
AC003681.1	0	0	0
AC003682.16	0	0	0
AC003682.17	0	0	0
AC003956.1	0	0	0
AC003958.2	0	0	0
AC003958.6	0	0	0
AC003968.1	0	0	0
AC003973.1	0	0	0
AC003973.4	0	0	0
AC003973.5	0	0	0
AC003973.6	0	0	0
AC003984.1	0	0	0
AC003985.1	0	0	0
AC003986.5	0	0	0
AC003986.6	0	0	0
AC003986.7	0	0	0
AC003988.1	0	0	0
AC003989.3	0	0	0
AC003989.4	0	0	0
AC003991.3	0.1448	0	0
AC004000.1	0	0	0
AC004004.2	0	0	0
AC004006.2	0	0	0
AC004009.3	0	0	0
AC004012.1	0	0	0
AC004014.3	0	0	0
AC004014.4	0	0	0
AC004016.1	0	0	0
AC004016.2	0	0	0
AC004017.1	0	0	0
AC004019.10	0	0	0
AC004019.13	0	0.0423	0
AC004019.18	0	0	0
AC004022.7	0	0	0
AC004022.8	0	0	0
AC004041.2	0.1118	0	0
AC004051.2	0	0	0
AC004052.1	0	0	0
AC004053.1	0	0	0
AC004054.1	0	0	0
AC004057.1	8.261	9.672	10.2031
AC004062.2	0	0	0
AC004063.1	0	0	0
AC004066.2	0	0	0
AC004066.3	0	0	0
AC004067.5	0	0.2036	0.5233
AC004069.1	0	0	0
AC004069.2	0.2973	0.6232	0.1709
AC004070.1	0	0	0
AC004074.3	0	0	0
AC004074.4	0	0	0
AC004076.7	0	0.107	0
AC004076.9	0	0	0
AC004079.1	0	0	0
AC004112.4	0	0	0
AC004112.5	0	0	0
AC004112.7	0	0	0
AC004125.3	0	0	0
AC004129.7	0	0	0
AC004129.9	0	0	0
AC004156.3	0.1119	0.551	0.0909
AC004158.2	1.5034	0.5767	1.1606
AC004158.3	0.1554	0.0143	0
AC004159.1	0	0	0
AC004160.4	0	0	0
AC004166.6	0.6747	0.092	0
AC004221.2	0	0.0446	0.4464
AC004231.2	0	0	0
AC004237.1	0	0	0
AC004257.1	0	0	0
AC004257.3	2.4571	0.7687	0.5233
AC004381.6	3.5047	3.267	3.362
AC004381.7	0	0	0
AC004383.3	0	0.3509	0
AC004386.3	0	0	0
AC004386.4	0	0	0
AC004410.3	0	0	0
AC004447.2	4.2062	3.581	4.1402
AC004448.2	0	0	0
AC004448.5	0	0	0
AC004449.6	0	0.6894	0
AC004453.8	0	0.4061	0
AC004458.1	0	0	0
AC004460.1	0	0	0
AC004461.4	0.1298	0	0
AC004463.6	0.5584	1.8579	0.7096
AC004466.1	0.5907	0.3398	0
AC004471.10	0	0.3366	0
AC004471.9	0.2577	0.5862	0
AC004485.3	0	0	0
AC004490.1	0	0	0
AC004492.1	0	0	0
AC004510.3	0	0	0
AC004520.1	0	0	0
AC004528.1	0	0	0
AC004528.4	0	0	0
AC004535.2	0	0	0
AC004538.3	0.0635	0	0
AC004540.4	0	0	0
AC004540.5	0	0	1.2089
AC004543.1	0	0	0
AC004543.2	0	0	0
AC004549.6	0	0.0441	0.0505
AC004552.1	0	0	0
AC004562.1	0	0	0
AC004593.3	0	0	0
AC004595.1	0	0	0
AC004603.4	0	0	0
AC004609.1	0	0	0
AC004623.2	0	0	0
AC004637.1	0.1093	0	0
AC004655.1	0	0	0
AC004656.1	0	0	0
AC004673.1	0	0	0
AC004691.5	0	0	0
AC004692.4	0	0	0
AC004692.5	0	0	0
AC004699.1	0	0	0
AC004702.2	0	0	0
AC004706.1	0	0	0
AC004744.3	0	0	0
AC004745.1	0	0	0
AC004769.1	0	0	0
AC004771.1	0	0	0.8297
AC004775.5	0	0	0
AC004791.2	0	0	0
AC004797.1	5.5823	4.3558	4.6118
AC004812.1	0	0	0
AC004817.1	0	0	0
AC004824.1	0	0	0
AC004824.2	0	0	0
AC004832.1	0	0	0
AC004837.3	0	0	0
AC004837.4	0	0	0
AC004837.5	0	0	0
AC004840.8	0	0	0
AC004840.9	1.0069	1.2152	1.541
AC004851.1	0	0	0
AC004854.4	0	0.1301	0
AC004854.5	0	0	0
AC004862.6	0	0	0
AC004866.1	0	0	0
AC004866.3	0	0	0
AC004869.2	0	0	0
AC004869.3	0	0	0
AC004870.3	0	0	0
AC004870.4	0	3.1829	0
AC004870.5	0	0	0
AC004875.1	0	0	0
AC004878.2	0	0	0
AC004878.3	0.0792	0	0
AC004878.5	0.1041	0	0
AC004878.6	0	0	0.0084
AC004878.7	0	0	0
AC004878.8	0	0	0
AC004889.1	4.4929	1.6551	0
AC004893.10	0	0	0.1504
AC004893.11	0.7139	0.5976	1.0694
AC004895.1	0	0	0
AC004895.4	0	0	0
AC004899.1	0	0.0099	0
AC004899.3	0	0	0
AC004901.1	0	0	0
AC004906.3	0	0	0
AC004911.2	0	0	0
AC004917.1	0	0	0.0869
AC004920.2	0	0	0
AC004920.3	0	0.1506	0
AC004924.1	0	0	0
AC004938.5	0	0	0
AC004941.3	0	0	0
AC004941.5	0	0	0
AC004943.1	0	0	0
AC004945.1	0	0	0
AC004947.2	0	0	0.2848
AC004951.5	0	0.6846	0.201
AC004951.6	0.9526	1.2241	1.6696
AC004967.7	2.5244	1.9663	3.3469
AC004969.1	0	0	0
AC004980.1	0	0	0
AC004980.10	0.7972	0.0786	0.3941
AC004980.11	0	0	0
AC004980.7	1.9239	1.5453	3.084
AC004980.8	0	0	0
AC004980.9	0	0	0
AC004985.12	0	0.2176	0.0414
AC004987.10	0	0	0
AC004987.9	0	0	0
AC004988.1	0	0	0
AC005000.1	0	0	0
AC005000.2	0	0	0
AC005003.1	0.5297	1.4242	2.6356
AC005007.3	0	0	0
AC005008.2	0	0	0
AC005008.3	0	0	0
AC005009.1	0	0	0
AC005009.2	0	0	0
AC005013.1	0	0	0.2035
AC005013.5	0	0	0
AC005014.5	0	0	0
AC005017.2	0	0	0
AC005019.2	0	0	0
AC005019.3	0	0	0
AC005020.1	0	0	0
AC005022.1	0	0	0
AC005027.3	0	0	0
AC005029.1	0	0	0
AC005033.6	0	0	0
AC005034.2	0	0	0
AC005034.3	0	0	0
AC005037.1	0	0	0
AC005037.2	0	0	0
AC005037.3	0	0.4754	1.0617
AC005037.4	0	0	0
AC005037.6	0	0	0
AC005040.3	0	0	0
AC005041.11	0	0	0
AC005041.17	2.4627	0.6594	3.0234
AC005042.2	0	0	0
AC005042.3	0	0	0
AC005042.4	0.1766	0.0492	0.0476
AC005042.5	0	0	0
AC005048.1	0	0	0
AC005062.2	0.2832	0	0
AC005071.1	0	0	0
AC005076.5	1.4986	1.8837	1.439
AC005077.12	1.87	0	0
AC005077.14	2.2465	0	0
AC005077.5	0	0	0
AC005077.7	0	0	0
AC005077.8	0	0	0
AC005077.9	0	0	0
AC005082.1	0	0	0
AC005082.12	0	2.3606	0
AC005083.1	3.0467	0.0999	0
AC005086.1	0	0	0
AC005086.2	0	0	0
AC005086.3	0	0	0
AC005086.4	0	0	0
AC005088.1	0	0	0
AC005094.2	0	0	0
AC005102.1	0	0	0
AC005104.3	0	1.6042	0
AC005105.2	0	0	0
AC005150.1	0	0	0
AC005152.2	0.0357	0.2309	0
AC005152.3	0	0	0
AC005154.6	2.3582	4.2528	2.3455
AC005154.7	0	0.4046	0
AC005154.8	0	0	0
AC005159.1	0	0	0
AC005160.3	0	0	0
AC005161.1	0	0	0
AC005162.4	0	0	0
AC005162.5	0	0	0
AC005176.1	0	0	0
AC005176.2	0	0	0
AC005176.3	0	0	0
AC005178.1	0	0	0
AC005189.6	0	0	0
AC005195.1	0	0	0
AC005197.2	0	0	0
AC005215.1	0	0	0
AC005220.3	0	0.1008	0
AC005224.2	1.2069	0	0.9677
AC005229.1	0	0	0
AC005229.5	0	0	0
AC005229.7	0	0	0
AC005235.1	0	0	0
AC005237.2	0	0	0
AC005237.4	0	0	0
AC005251.4	0	0	0
AC005253.2	2.7911	1.9229	2.5939
AC005253.4	0	0	0
AC005255.3	0.2352	0	0
AC005255.5	0	0	0
AC005255.6	0	0	0
AC005256.1	0	0	0
AC005262.2	0	0.228	0
AC005262.3	0	0.2033	0
AC005262.4	0	0	0
AC005264.2	0	0	0.0922
AC005276.1	0.064	0.0467	0
AC005280.1	2.188	1.2865	0.9439
AC005281.1	0.4463	0	0
AC005281.2	0.1232	0	0
AC005284.1	0	0	0
AC005288.1	0	0	0
AC005300.5	0	0	0
AC005301.8	0.9158	0	0
AC005304.1	0	0	0
AC005306.3	1.7823	1.7184	0.5327
AC005307.1	0	0	0
AC005307.3	0	0	0
AC005324.6	0	0	0
AC005324.7	0	0	0
AC005326.2	0	0	0
AC005329.7	0.4868	1.1751	1.1678
AC005330.2	0	0.6314	0.1018
AC005336.4	1.2837	1.0174	0
AC005336.5	0	0	0
AC005339.2	1.0709	0	0
AC005351.1	0	0	0
AC005355.1	0.1457	0	0
AC005355.2	3.9636	0	0
AC005356.1	0	0	0
AC005357.1	0	0	0
AC005358.1	0	0	0
AC005358.3	0	0	0
AC005363.9	0	0	0
AC005370.1	0	0	0
AC005375.1	0	0	0
AC005387.2	0.2295	0.1642	0
AC005387.3	0	0	0
AC005391.2	0	0	0
AC005392.13	0	0	0
AC005394.1	0	0	0
AC005399.1	0	0	0
AC005477.1	0	0	0
AC005481.5	0	0	0
AC005484.5	0.1047	0.048	0.0132
AC005487.2	0	0	0
AC005488.1	0	0	0
AC005488.11	0	2.4588	0
AC005493.1	0	0	0
AC005498.3	0	0	0.1031
AC005498.4	0	0	0
AC005513.1	0	0	0
AC005517.3	1.6299	0	0.8082
AC005518.2	0	0	0
AC005519.4	1.1806	1.7197	0.6136
AC005522.6	0	0	0
AC005522.7	0	0	0
AC005523.2	4.7627	3.0731	4.3548
AC005523.3	0	0	0
AC005532.5	0	0	0.0689
AC005534.6	0	0	0
AC005534.8	0.3907	0	0
AC005537.2	0	0.5427	0
AC005538.5	0	0	0
AC005539.2	0	0	0
AC005540.3	0.1792	0.1725	0.581
AC005544.1	0	0	0
AC005546.2	0	0	0
AC005549.1	0	0	0
AC005549.2	0	0	0
AC005549.3	0	0	0
AC005550.3	1.2624	0	0.5916
AC005550.4	0	0	2.2821
AC005550.5	0	0	0
AC005559.2	0	0	0
AC005559.3	0	0	0
AC005562.1	1.7337	1.3461	2.479
AC005588.2	0	0	0
AC005592.1	0	0	0
AC005592.2	0	0	0
AC005592.3	0	0	0
AC005594.3	0.1983	0.177	0.3287
AC005597.1	0	0	0
AC005606.1	0	0	0
AC005606.14	0	0	0
AC005606.15	0	1.7038	0
AC005609.1	0	0	0
AC005609.2	0	0	0
AC005614.3	0.0443	0	0
AC005614.5	0	0	0
AC005616.1	0	0	0
AC005616.2	0	0	0
AC005618.1	1.406	2.1231	3.6064
AC005618.6	0	0	0
AC005621.1	0	0	0
AC005624.2	0	0.8371	0.2203
AC005625.1	0	0	0
AC005626.3	0	0	0
AC005631.1	0	0	0
AC005682.5	0	4.2941	0
AC005682.6	0	0.0259	0
AC005682.7	0	0	0
AC005682.8	0	0	0
AC005686.1	0	0	0
AC005701.1	0	0	0
AC005702.1	0	0	0.4576
AC005702.2	0	1.2389	0
AC005702.3	0	0	0
AC005702.4	0	0	0
AC005703.2	0	0	0
AC005703.3	0	0	0
AC005722.4	0	0	0
AC005725.1	0	0	0
AC005730.2	0	0	0
AC005740.3	0	0	0
AC005740.4	0	0	0
AC005740.5	0	0	0
AC005740.6	0	0	0
AC005741.2	0	0	0
AC005754.7	0	0	0
AC005754.8	0	0	0
AC005757.6	0	0	0
AC005757.7	0	0	0
AC005758.1	0	0	0
AC005772.2	0	0	0
AC005775.2	0.2849	0.8182	0.3827
AC005776.1	0	0	0
AC005777.3	0	0	0
AC005779.1	0	0	0
AC005779.2	0	0	0
AC005780.1	0	0	0
AC005783.1	0	0	0
AC005785.2	0.6071	0.2452	0.3977
AC005786.3	0	0	0
AC005786.5	0	0	0
AC005786.7	0	0	2.0184
AC005789.11	0.0318	0	2.1198
AC005789.9	0	0	0
AC005794.1	0	0	0
AC005795.1	0	0.1546	0
AC005808.3	0	0	0
AC005822.1	0.0574	0	0
AC005831.1	0	0	0
AC005838.2	0	0	0
AC005841.1	0.3132	0.6461	0.7241
AC005863.1	0	0	0
AC005863.2	0	0	0
AC005884.1	0	0.7973	1.1121
AC005926.1	0	0	0
AC005932.1	0	0	0
AC005943.4	0.099	0.1366	0.4866
AC005943.5	0.359	2.1422	2.3373
AC005944.2	0	0	2.0749
AC005954.3	0.5364	0	0
AC005954.4	0.3404	0	0.0773
AC006000.5	0	0	0
AC006001.1	0	0	0
AC006003.3	0	0	0
AC006004.1	0	0	0
AC006007.1	0	0	0
AC006011.4	0	0	0
AC006014.1	0	0	0
AC006014.10	0	0	0
AC006014.7	0.2663	0.4472	0.5266
AC006014.8	0.3542	2.1444	0.5201
AC006019.3	0	0	0
AC006019.4	0	0	0
AC006022.4	0	0	0
AC006023.8	0	0	0
AC006024.4	0	0.0225	0
AC006026.1	0	0	0
AC006026.10	0	0	0
AC006026.12	0	0	0
AC006026.13	0	0	0
AC006026.9	0	0	0
AC006028.11	0	0	0
AC006033.22	0	0	0
AC006035.1	0	0	0
AC006037.2	0	0	0
AC006041.1	0	0	0
AC006042.6	2.6354	0	0.4334
AC006042.7	0	0	0
AC006042.8	0	0	0.0875
AC006045.3	0	0	0
AC006050.2	0	0	0
AC006070.12	0	0	0
AC006076.1	0	0	0
AC006077.4	0	0	0
AC006080.1	0	0	0
AC006111.1	0.6475	0.05	0.5171
AC006115.1	0	0	0
AC006115.3	0	0	0.1001
AC006115.6	0	0	0
AC006116.1	0	0	0
AC006116.12	0	0	0
AC006116.13	0	0	0
AC006116.14	0	0	0
AC006116.15	0	0	0.1154
AC006116.17	0.344	0.0245	0.2116
AC006116.19	0	0	0.0769
AC006116.20	0.3512	0.184	0.0795
AC006116.21	0	0	0.13
AC006116.22	0	0	0
AC006116.24	0	0	1.1863
AC006116.27	0.138	0	0
AC006126.3	0	0	0
AC006126.4	0	0	0
AC006129.1	0.2585	0	0
AC006129.2	0	0	0
AC006129.4	0.5631	0	0
AC006130.1	0	0	0
AC006130.3	0	0	0
AC006130.4	0	0	0
AC006132.1	0.3641	0.8585	2.608
AC006133.3	0	0	0
AC006145.1	0	0	0
AC006150.1	0	0	0
AC006150.2	0	0	0
AC006153.3	0	0	0
AC006156.1	0	0	0
AC006156.2	0	0	0
AC006159.3	0	0	0
AC006159.4	0	0	0
AC006159.5	0	0	0
AC006160.4	0	0	0
AC006160.5	0	0	0.6519
AC006195.2	0	0	0
AC006196.1	0	0	0
AC006227.1	0	0	0
AC006262.10	0	0	0
AC006262.4	0	0	0
AC006262.5	0	4.5604	0
AC006262.6	0	1.3189	0
AC006272.1	0	0	0
AC006272.2	0	0	0
AC006273.4	0	1.5562	0.1462
AC006273.5	2.5535	4.1623	0.7769
AC006273.7	0	1.2009	0
AC006277.2	1.2988	0.4848	0.0558
AC006296.1	0	0	0
AC006296.2	0	0	0
AC006322.1	0	0	0
AC006326.3	0	0	0
AC006326.5	0	0	0
AC006328.1	0	0	0
AC006328.9	0	0	0
AC006335.10	0	0	0
AC006335.11	0	0	0
AC006335.2	0	0	0
AC006335.6	0	0	0
AC006355.3	0	0	0
AC006366.3	0	0	0
AC006369.2	0	0	0
AC006369.3	0	0	0
AC006371.1	0	0	0
AC006372.1	0	0	0
AC006372.4	0	0.0188	0
AC006372.5	0	0	0
AC006372.6	0	0	0
AC006373.1	0	0	0
AC006377.1	0	0	0
AC006378.2	0.3493	0	0
AC006380.1	0	0	0
AC006380.3	0	0	0
AC006390.4	0	0	0
AC006427.2	0	0	0
AC006432.1	0	0	0
AC006435.1	0	0	0
AC006445.6	0	0	0
AC006445.7	0	0	0
AC006445.8	0	0.0594	0
AC006449.1	0	0	0
AC006452.1	0	0	0
AC006455.1	0	0	0
AC006458.3	0	0	0
AC006460.2	0.1395	1.5024	0
AC006461.2	0	0	0
AC006465.4	0	0	0
AC006466.5	0	0	0
AC006480.1	0	0	0
AC006481.1	0	0	0
AC006482.1	0	0	0
AC006483.1	0	0	0
AC006483.5	0	0	0.1346
AC006486.1	0.3517	0.2101	0.3543
AC006486.9	0	0.3348	0
AC006487.1	0	0	0
AC006499.1	0	0	0
AC006499.2	0	0	0
AC006499.3	0	0	0
AC006499.4	0	0	0
AC006499.5	0	0	0
AC006499.6	0	0	0
AC006499.7	0	0	0
AC006499.8	0	0	0
AC006499.9	0	0	0
AC006509.4	0	0	0
AC006509.7	0	0	0
AC006534.1	0	0	0
AC006534.2	0	0	0
AC006538.1	0.3096	1.0735	0.7939
AC006538.4	1.6896	0	0.7905
AC006539.1	0	0	0
AC006539.2	0	0	0
AC006539.3	0	0	0
AC006539.4	0	0	0
AC006547.13	2.8808	2.875	0.4524
AC006547.14	0	0.391	1.3197
AC006547.15	0	0	0
AC006547.8	0	0	0
AC006548.19	0	0	0
AC006548.26	0	0	0
AC006552.1	0	0	0
AC006557.1	0	0	0
AC006926.1	0	0	0
AC006942.4	0	0.1857	1.2985
AC006946.12	0.5487	0.4043	0
AC006946.15	0	0.0458	0
AC006946.16	1.8658	1.4029	1.0435
AC006946.17	0.9286	1.0619	0.4047
AC006947.1	0	0	0
AC006953.1	0	0	0
AC006960.5	0	0	0
AC006960.7	0	0	0
AC006967.1	0	0	0
AC006978.6	0	3.3775	0
AC006987.4	0	0	0
AC006987.5	0	0	0
AC006987.6	0	0	0
AC006987.7	0	0	0
AC006988.1	0	0	0
AC006989.2	0	0	0
AC006994.1	0	0	0
AC006994.2	0	0	0
AC006994.3	0	0	0
AC006995.8	0.5949	0.0556	0.2183
AC007000.10	0.5533	0	0
AC007000.11	0	0	0
AC007000.12	0.1764	0	0.0911
AC007003.1	0	0	0
AC007009.1	0	0	0
AC007009.2	0	0	0
AC007014.1	0	0	0
AC007016.3	0	0	0
AC007025.1	0	0	0
AC007036.4	0	0	0
AC007036.5	0	0	0
AC007036.6	0	0	0
AC007038.7	0.0247	0.1487	0.188
AC007040.1	0	0	0
AC007040.11	0	0.6665	1.3655
AC007040.2	0	0	0
AC007040.3	0	0	0
AC007040.5	0	0	0
AC007040.6	0.0445	0	0.0731
