Gene	CCL_A	CCL_B	CCL_C
EVPLL	0.0166	-0.0853	-0.2009
EXTL1	-0.3101	-0.1292	-0.3198
FADD	-0.1872	-0.062	-0.0273
FAM117B	-0.2527	-0.0911	-0.0834
FAM153B	-0.4235	-0.1552	-0.0446
FAM175B	0.5826	0.0631	0.1398
FAM19A5	-0.0154	0.0757	0.0826
FAM222B	0.0425	-0.1166	-0.0604
FAM63B	-0.3203	-0.4063	-0.5434
FAM86B1	-0.9091	-0.4618	-0.6151
FAS	-0.196	0.0093	-0.0246
FBXL2	-0.1037	-0.0212	0.0125
FBXO43	0.0547	0.0492	0.3187
FCHSD1	0.052	-0.0863	0.1367
FEZ2	-0.1153	-0.036	-0.0124
FGFBP2	0.1581	0.0682	0.1285
FITM2	0.0716	-0.095	-0.0777
FLT3LG	-0.1166	-0.145	-0.1179
FOCAD	0.0862	0.1482	0.1047
FOXK2	-0.4204	0.0598	0.0892
FRK	-0.1718	0.0233	0.1194
FTH1	-0.0753	-0.2486	-0.2798
FXYD7	0.1323	-0.0101	-0.0409
GABRA1	-0.2564	0.0944	0.157
GALNT10	-0.0706	0.0574	0.0794
GARNL3	-0.1583	0.0458	0.1506
GBP5	-0.1456	-0.0423	-0.1695
GDF1	-0.9155	-0.3317	-0.2118
GFRA1	-0.0854	-0.0162	-0.1052
GIGYF2	-0.6026	-0.0469	-0.1878
GJC2	-0.1736	0.0013	-0.0756
GLP2R	-0.1588	-0.072	0.1017
GML	-0.4921	-0.0405	-0.2242
GNG13	-0.326	-0.262	-0.289
GOLGA6L6	-0.4622	-0.5099	-0.3808
GPAA1	-0.1165	-0.1522	-0.2286
GPR107	0.017	0.0252	0.2335
GPR161	0.1444	0.0468	0.009
GPR75	-0.1126	-0.0793	0.0292
GRAMD1C	0.2037	0.0176	0.1524
GRIN3A	-0.1019	0.1343	0.1419
GSG2	-0.4239	-0.0883	-0.0999
GTF2F1	-0.3318	-0.3598	-0.2481
GUCY1B3	-0.1373	0.1513	0.0628
H3F3C	-0.8784	-0.2012	-0.6885
HAUS6	-0.8198	-0.6985	-0.9222
HDAC2	-0.2269	0.1487	-0.1994
HELZ	-0.2065	0.0752	-0.0171
HFM1	0.1385	-0.0231	-0.0205
HIP1R	0.0199	0.0677	0.2117
HIST1H2BL	-0.7609	-0.4834	-0.9772
HIST3H3	0.321	0.0402	-0.0757
HMBOX1	0.3632	0.165	0.1929
HNF1B	-0.5315	-0.1977	-1.0741
HORMAD2	0.0761	-0.1304	-0.3269
HOXD13	-0.3388	-0.2234	-0.2029
HRH4	0.184	0.0816	-0.0186
HSDL1	-0.2753	-0.1271	-0.1479
HSPE1	-1.6161	-1.3051	-1.358
HYDIN	-0.3331	-0.287	-0.3482
IDH3B	0.1206	0.1151	0.0689
IFNA13	-0.2785	-0.0591	-0.1484
IFT57	-0.6899	0.0025	-0.1349
IGSF10	-0.2118	0.0205	-0.0514
IL17A	0.1872	0.0374	0.0727
IL23R	-0.0863	0.1587	0.3045
ILKAP	0.0533	-0.0351	0.1044
INO80D	0.0527	0.1109	0.0789
INTU	0.0091	-0.0632	0.0762
IQUB	0.484	-0.0011	0.1435
ISG20L2	-0.7501	-0.3995	-0.6179
ITGB1	-0.341	-0.2387	0.4065
IVNS1ABP	0.2665	0.0272	0.1214
JPH4	-0.5942	-0.0619	-0.3928
KBTBD13	0.1486	-0.03	0.1298
KCNG4	-0.1465	-0.0254	0.0526
KCNK18	-0.3547	-0.2053	-0.0991
KCTD13	0.0467	0.0517	0.2578
KDM5B	0.1473	0.0398	0.2558
KIAA0513	-0.499	-0.1623	-0.249
KIAA1468	0.3516	0.061	0.073
KIF1C	-0.0727	0.1205	0.2565
KIRREL	0.2672	0.2117	0.4957
KLHDC7B	-0.2152	-0.1763	-0.1872
KLHL8	0.2553	0.1525	0.2545
KMT2E	-0.4255	0.0114	0.2338
KRT19	-0.1629	-0.0363	-0.2759
KRT78	-0.2022	-0.0781	-0.1031
KRTAP15-1	-0.3029	-0.3469	-0.499
KRTAP4-5	0.2675	-0.0745	0.0302
KYNU	0.1397	0.0843	0.0958
LAMTOR3	-0.3998	-0.485	-0.4595
LCE1C	-0.5419	-0.5323	-0.524
LDB1	-0.0013	-0.0282	0.5763
LEPREL1	0.0254	0.1369	0.1491
LHFP	-0.117	0.0344	-0.0036
LIMK1	0.1126	0.0578	0.3233
LKAAEAR1	0.3188	-0.0742	-0.1121
LNPEP	-0.3185	-0.1162	-0.2202
LPL	0.126	0.1449	-0.002
LRP2BP	-0.0057	-0.0783	0.1609
LRRC36	0.1911	0.0783	0.2865
LRRC73	-0.0687	-0.1829	0.086
LSM10	-0.3905	-0.8615	-0.6201
LUM	0	-0.0154	0.2404
LYPLAL1	0.2148	-0.0569	0.3017
MAD2L1BP	-0.3078	-0.288	-0.2112
MAN1C1	-0.1007	-0.1397	-0.216
MAP3K2	-0.1586	-0.0251	-0.1127
MAPKAP1	-0.6693	-0.2774	-0.4829
MASP1	-0.0441	-0.0537	-0.1025
MBLAC2	-0.1309	-0.0118	0.0097
MCM5	-1.1732	-1.2016	-1.0283
MECOM	0.1969	0.0764	0.2299
MEF2D	0.0021	-0.0646	0.0025
METTL1	-0.9323	-0.5511	-0.2526
MFAP4	-0.0378	-0.0468	0.188
MGAT5B	0.15	0.0654	0.2076
MIIP	0.0049	-0.215	-0.1986
MLH1	-0.4416	-0.1141	-0.0747
MMP20	-0.1515	0.0053	0.0696
MOCS3	-1.1602	-0.6754	-1.1542
MPL	-0.2189	0.0672	0.0387
MRGPRF	0.1025	-0.0209	0.1229
MRPL32	-0.5719	-0.6818	-0.4778
MRPS18B	-0.8885	-0.5546	-0.3266
MS4A6A	-0.6804	-0.0366	-0.0941
MT1A	-0.3731	-0.1801	-0.126
MTHFD1L	-0.3711	-0.087	-0.0769
MTRNR2L8	-0.9144	-0.2621	-0.352
MVD	-0.9345	-0.6983	-1.0635
MYH10	-0.2852	0.0193	0.1858
MYO18A	-0.4582	-0.2771	-0.1176
MYRF	-0.1839	0.0196	0.2364
NABP1	-0.0082	0.0062	0.1112
NAPRT	-0.6778	-0.1539	-0.1152
NCAPG	-1.4139	-1.0566	-1.4217
NCS1	-0.2716	0.0715	0.0202
NDUFAF2	-0.2788	-0.0751	-0.0088
NECAP2	-0.4809	-0.1977	-0.2084
NEU1	-0.2012	-0.0347	0.0803
NFKB1	0.172	0.111	0.2109
NID2	0.0797	-0.1421	0.1324
NKX2-2	0.1956	0.1084	0.044
NME1	-0.1634	-0.0295	0.1613
NOL11	-0.2589	-0.7553	-0.5168
NOVA1	0.3518	0.0617	0.2088
NPIPB6	0.0949	-0.4353	-0.1806
NR1I2	0.0161	-0.0164	0.0306
NRIP3	-0.12	-0.0098	-0.0028
NT5C2	-0.0736	-0.0119	0.1073
NUCKS1	-0.1138	0.0108	0.1492
NUP160	-0.4588	-1.0727	-0.786
NXPE1	0.3795	0.0946	0.1309
OCSTAMP	0.0102	0.1592	0.0415
OLR1	0.4382	0.1079	0.2087
OR10G4	0.2476	0.018	0.0144
OR13C4	0.1219	0.0287	-0.1373
OR1Q1	-0.1399	-0.1516	-0.1552
OR2L13	0.2354	-0.0297	0.0143
OR4A15	-0.0663	0.0589	-0.01
OR4M1	-0.2702	-0.0639	-0.2027
OR52B2	0.2138	0.1678	0.1541
OR5AU1	0.0083	-0.1193	-0.3465
OR5T2	0.1834	0.0764	0.0093
OR7A5	0.6453	0.0776	0.2454
OR9K2	0.2228	0.0271	-0.1165
OSGEPL1	0.1555	-0.1526	0.1741
OVOL1	0.4848	0.0428	0.0332
PABPC1	-0.9484	-0.6913	-0.9446
PAK7	-0.2354	0.0141	-0.0192
PAQR6	-0.2072	-0.1575	0.0226
PATE3	0.0803	0.141	0.155
PCDH1	0.0718	-0.0312	-0.0462
PCDHB4	-0.2091	-0.064	-0.1827
PCIF1	0.1264	-0.0328	-0.0016
PDCD1LG2	0.0767	0.1448	0.1275
PDE8A	0.0492	0.0384	-0.2694
PDRG1	-1.2478	-1.3126	-1.1544
PEPD	0.1793	0.0248	0.0735
PFKFB3	0.3322	0.1525	0.397
PGP	-0.423	-0.0741	-0.1816
PHKG1	-0.2046	-0.4123	-0.4572
PIBF1	0.0404	-0.0838	0.3959
PIK3C3	-0.5441	-0.9841	-0.8809
PITPNM1	-0.6218	-0.1185	-0.1562
PKP4	0.0032	-0.0166	0.0256
PLBD2	0.1382	-0.0015	0.288
PLEKHD1	0.0291	-0.2208	0.0894
PLLP	0.3856	-0.1211	-0.1161
PMP22	0.1028	-0.1377	-0.2239
POC5	-0.0761	-0.0236	0.0804
POLR2A	-1.3111	-1.1534	-0.961
POMZP3	0.2266	-0.0534	-0.0832
POU5F1B	-0.8769	-0.3794	-0.6272
PPIAL4D	-0.7914	-0.2914	-0.5484
PPP1R11	-0.6598	-0.6965	-0.9682
PPP1R8	-1.0718	-0.8242	-1.0277
PPWD1	-1.2932	-1.2467	-1.5036
PRDM14	-0.3566	-0.0098	-0.0514
PRKAA2	0.0132	-0.2604	-0.1688
PRLR	-0.1733	-0.1474	0.0416
PRPF19	-1.2737	-1.2365	-1.6713
PRR25	0.2588	-0.0598	0.0054
PRSS37	0.2194	0.0725	0.18
PSG5	0.1722	0.1869	0.2226
PSMD12	-0.6954	-0.7238	-0.8644
PTCD2	0.0754	-0.0165	0.0458
PTH2R	-0.1627	-0.1313	-0.0867
PTPN9	0.2171	0.0466	0.1821
PURB	0.1791	0.0583	0.1817
PYGM	-0.3671	-0.0889	-0.1433
RAB11FIP2	0.0872	0.0478	0.1087
RAB39A	0.1047	-0.0721	0.1401
RABL2B	-0.3579	-0.1412	-0.1734
RAI1	-0.2428	0.0147	0.1466
RAPGEF2	0.0561	0.0125	0.0566
RASGRP4	0.1525	0.0343	0.0496
RBL1	-0.4099	0.1139	-0.1005
RBM8A	-1.2336	-0.7742	-0.9747
RCOR3	-0.0773	-0.1033	0.1483
RELL2	-0.1734	-0.1188	0.0886
RFPL3	0.1035	-0.148	-0.3518
RGS12	0.0633	0.0547	0.1372
RHNO1	-0.3467	-0.1426	-0.3481
RIMS1	-0.1934	0.0771	0.2159
RMND5B	-0.2808	-0.053	-0.0798
RNF126	-0.1484	-0.0879	-0.268
RNF2	0.0486	-0.0909	-0.0582
RNGTT	-1.3994	-1.266	-1.3186
RPAP3	-1.0304	-0.458	-0.4818
RPL3	-0.9113	-1.1302	-1.2078
RPRD1A	-0.0152	0.0696	0.0086
RPS6KA4	-0.0593	-0.0156	0.0371
RRP36	-0.6302	-0.2398	-0.2373
RTF1	-0.455	-0.477	-0.5516
RWDD2B	0.241	0.032	0.1367
S1PR3	0.0375	0.0286	0.0448
SAP130	-0.5177	-0.3774	-0.4491
SCAF11	-0.23	-0.1305	-0.2656
SCGB3A2	-0.13	-0.0219	-0.122
SCRIB	-0.4052	-0.0157	0.2461
SDK2	-0.3032	-0.0291	-0.0091
SEC62	-0.8665	-0.241	-0.4651
SEMA6C	-0.0935	-0.0312	0.1228
SERINC2	-0.0452	0.0226	-0.0488
SERPINH1	0.5366	0.0677	0.1248
SF3B1	-0.8318	-0.9079	-0.9696
SGCE	-0.7048	-0.4593	-0.5029
SH3BP1	-0.1109	-0.4051	-0.4188
SHISA3	0.1057	-0.0265	-0.0182
SIGLECL1	0.4256	-0.0292	-0.0404
SIX6	0.3032	-0.084	-0.0356
SLC12A3	0.1017	0.0226	-0.0565
SLC17A5	-0.1323	-0.119	0.0503
SLC22A3	-0.1044	0.0842	0.1277
SLC25A29	-0.493	-0.1968	0.0105
SLC27A2	-0.3266	-0.0413	-0.0184
SLC30A8	0.1179	0.1249	0.12
SLC35G5	0.3439	-0.0867	-0.1541
SLC41A1	0.1643	0.1011	0.094
SLC52A2	-0.661	-0.1369	-0.2288
SLC7A14	0.1807	0.0357	-0.0766
SLCO4C1	-0.0867	0.0782	0.0259
SMAD7	-0.0432	0.0123	0.0577
SMG7	-0.3817	-0.7875	-0.4137
SMPDL3A	0.104	0.076	-0.076
SNF8	-0.8712	-1.0354	-0.7606
SNX11	0.2079	0.1053	0.0525
SOCS6	0.0851	-0.0847	0.2901
SOX2	0.0884	0.0416	0.1655
SPAG8	-0.0645	0.0032	-0.0461
SPATA7	-0.2688	-0.1154	0.0014
SPHK1	-0.0282	0.0566	0.088
SPOP	-0.232	-0.0615	-0.0523
SPTBN4	-0.1524	-0.0542	-0.2082
SRP54	-1.1672	-1.2056	-1.2159
SSC4D	-0.2843	-0.2133	-0.2701
ST6GAL2	-0.3631	-0.0321	-0.1502
STARD6	0.1276	-0.0237	0.0834
STK3	-0.3573	-0.0021	-0.0859
STRBP	-0.2358	0.034	0.1364
STYXL1	0.1804	-0.0837	0.0889
SUN3	-0.2743	0.0328	8e-04
SYCE1	-0.0018	0.028	0.0044
SYNRG	-0.0862	-0.0451	-0.1459
TAC1	0.0421	-0.0236	0.0884
TAF9	0.1221	0.0101	-0.1056
TAS2R14	-0.0379	0.1428	0.1518
TBC1D14	-0.2759	-0.1788	-0.1347
TBCE	-0.655	-0.5023	-0.4412
TCEB1	-0.9169	-0.6218	-0.5957
TCP11	-0.2955	-0.0388	-0.0081
TECRL	0.0823	0.1141	0.1946
TEX15	0.0665	0.0798	0.0714
TFG	-0.0194	-0.0986	-0.026
THAP11	-0.6252	-0.3962	-0.5364
THSD1	0.0145	0.0453	0.1312
TIMM22	-0.7349	-0.4099	-0.2963
TLK2	0.1294	-0.0171	-0.1659
TMA7	-0.4121	-0.1234	-0.2495
TMEM102	-0.4604	-0.2068	-0.0934
TMEM139	0.1996	-0.0852	0.1967
TMEM174	-0.1303	-0.1468	-0.3819
TMEM204	-0.1622	-0.275	-0.1786
TMEM242	-0.3835	-0.4626	0.0306
TMEM44	-0.3783	-0.1648	-0.1135
TMEM81	0.0815	0.0128	-0.0043
TMPRSS12	0.0667	-0.1105	0.0944
TNFRSF11A	0.3745	0.0823	0.1514
TNKS1BP1	-0.0271	-0.1098	-0.0427
TOMM22	-1.2963	-1.195	-1.1029
TP53I3	-0.3124	-0.4582	-0.3534
TPRG1	0.2113	0.0906	-0.0013
TRAM1L1	-0.1532	-0.0958	-0.1769
TRIM10	-0.0777	-0.2498	-0.1031
TRIM46	-0.2051	-0.1859	-0.1491
TRIOBP	-0.2784	-0.0839	-0.2193
TRPC6	-0.1275	0.1332	0.1329
TSHB	-0.5483	-0.2323	-0.1338
TSPYL4	0.1384	0.0064	0.223
TTC29	0.5882	0.0672	0.3684
TTLL5	-0.3113	-0.2238	0.1431
TUBGCP3	-0.702	-0.7745	-0.8519
TXNDC5	0.4154	0.062	0.1601
UBAC1	0.094	0.0888	0.1718
UBE2Q1	-0.3808	-0.1288	0.0219
UBR3	-0.2715	-0.1517	0.0186
UGCG	-0.2015	-0.0831	-0.3297
ULK2	-0.0805	-0.0759	-0.0844
UPK3B	0.2073	0.0327	0.1497
USP12	0.2626	-0.116	-0.2
USP43	0.1508	-0.0219	0.0967
VAMP2	-0.2558	0.0241	-0.0044
VENTX	-0.35	-0.2021	-0.2712
VPS13D	-0.9574	-0.7177	-0.9135
VSIG8	-0.0571	-0.0439	-0.1049
WASF3	-0.0801	0.0861	0.0456
WDR35	-0.1572	0.0555	0.1197
WDR82	-1.5188	-1.1753	-1.3362
WIF1	-0.3126	0.127	0.0258
WRN	-0.2414	-0.0894	-0.1307
XPO4	-0.1933	0.0523	0.0851
YIPF1	0.2628	0.0148	0.0993
ZBBX	-0.2887	-0.0688	-0.0324
ZBTB44	0.5234	0.1075	0.0595
ZCCHC10	-0.2877	-0.0481	0.0568
ZDHHC8	-0.584	-0.1191	-0.158
ZFP91	0.1496	0.0767	0.0928
ZKSCAN7	0.0966	-0.0119	0.1336
ZNF134	-0.2012	0.0196	-0.0998
ZNF208	-0.2462	-0.2857	-0.2457
ZNF260	0.055	0.0484	0.2366
ZNF324	-0.3986	-0.0139	-0.1909
ZNF391	0.8195	0.1286	0.1643
ZNF444	0.344	-0.0947	-0.1877
ZNF507	0.3321	0.0831	0.2464
ZNF558	0.0635	-0.1922	-0.0749
ZNF593	-0.3351	-0.2112	-0.4124
ZNF649	-0.2369	-0.1244	-0.1071
ZNF7	0.1877	0.0935	0.2061
ZNF75A	-0.5121	-0.1436	-0.2826
ZNF800	0.3918	0.0279	0.3797
ZNF891	-0.1274	0.0014	-0.0193
ZSCAN22	0.086	-0.1056	0.0379
