Probe	CCL_A	CCL_B	CCL_C
cg00081975	0.0184	0.0383	0.0611
cg00083937	0.5869	0.9157	0.8495
cg00084687	0.0088	0.02	0.0271
cg00089071	1e-04	0.012	0.0164
cg00090147	0.1235	0.4468	0.1151
cg00091693	0.3178	0.8745	0.437
cg00093177	0.7298	0.8891	0.7817
cg00094319	0.5601	0.7363	0.7348
cg00094851	0.0904	0.1325	0.1484
cg00095526	0.2509	0.8399	0.5165
cg00095674	0.0402	0.0376	0.0489
cg00096922	0.4768	0.0329	0.0747
cg00097536	0.0659	0.0659	0.0927
cg00098239	0.041	0.0321	0.0347
cg00101227	0.4417	0.9352	0.8515
cg00103783	0.0306	0.0355	0.0467
cg00105253	0.0696	0.1035	0.297
cg00105470	0.0011	0.0045	0.0017
cg00107187	0.5267	0.8761	0.3937
cg00107632	0.0609	0.0725	0.1315
cg00108454	0.1074	0.7247	0.1661
cg00109274	0.0814	0.077	0.1451
cg00112517	0.1802	0.7457	0.4017
cg00113951	0.2314	0.6746	0.4116
cg00115714	0.0407	0.0492	0.0371
cg00116234	0.0536	0.9668	0.3264
cg00116838	0.9336	0.2396	0.9138
cg00117172	0.7914	0.0454	0.0517
cg00119079	0.2534	0.0723	0.5726
cg00121158	0.0422	0.0564	0.0525
cg00121640	0.1247	0.3267	0.1193
cg00121904	0.2872	0.6359	0.0994
cg00123035	0.0898	0.0771	0.104
cg00126034	0.6023	0.8397	0.4071
cg00126698	0.6382	0.9424	0.5147
cg00128197	0.0098	0.0422	0.0392
cg00128560	0.8936	0.9264	0.9037
cg00128654	0.0939	0.0828	0.0909
cg00128877	0.0868	0.0754	0.0654
cg00129774	0.0128	0.044	0.0372
cg00131121	0.0835	0.2186	0.1044
cg00131557	0.9438	0.9504	0.8931
cg00132141	0.3594	0.9079	0.7386
cg00133909	0.3467	0.055	0.0987
cg00134539	0.8297	0.9733	0.6984
cg00134787	0.0318	0.4724	0.7501
cg00135056	0.08	0.1104	0.1531
cg00136105	0.0349	0.0268	0.0235
cg00136477	0.0974	0.8176	0.17
cg00138126	0.6066	0.879	0.6231
cg00141162	0.7315	0.908	0.8409
cg00141845	0.187	0.4402	0.1917
cg00143376	0.4557	0.9135	0.8669
cg00143998	0.0316	0.0352	0.0491
cg00145118	0.1347	0.8417	0.1836
cg00145348	0.0044	0.0323	0.0195
cg00146096	0.0044	0.2658	0.0041
cg00149659	0.0419	0.057	0.047
cg00149976	0.0687	0.0347	0.0729
cg00151234	0.0258	0.0225	0.0645
cg00151607	0	0.0331	0.0167
cg00152644	0.1245	0.8777	0.1808
cg00155167	0.0427	0.13	0.0489
cg00155485	0	8e-04	0.0059
cg00155609	0.0493	0.5398	0.1195
cg00156216	0	0.0094	0
cg00156744	0.0421	0.04	0.1204
cg00158308	0.296	0.2675	0.4751
cg00160914	0.0096	0.2731	0.0819
cg00162401	0.0633	0.0343	0.0411
cg00162643	0.0323	0.0337	0.035
cg00164898	0.2496	0.0728	0.1307
cg00165981	0.1004	0.0893	0.1206
cg00167504	0.0697	0.0536	0.0652
cg00168082	0.0838	0.1561	0.0636
cg00168785	0.0656	0.2078	0.1351
cg00168942	0.0845	0.9138	0.8943
cg00171126	0.077	0.08	0.0687
cg00171161	0.0762	0.0653	0.0645
cg00174500	0.0725	0.8456	0.3345
cg00174901	0.2442	0.9148	0.4864
cg00176210	0.4632	0.4453	0.8694
cg00176879	0.8348	0.8353	0.8194
cg00177013	0.1089	0.1063	0.0759
cg00177698	0.048	0.0505	0.0806
cg00177923	0.0776	0.0514	0.079
cg00179446	0.065	0.049	0.0601
cg00180012	0.0481	0.0647	0.0672
cg00180631	0.112	0.4909	0.0636
cg00183916	0.7817	0.0516	0.2781
cg00184884	0.04	0.0205	0.0345
cg00184893	0.0398	0.0404	0.0574
cg00185839	0.0342	0.0353	0.0401
cg00186141	0.0729	0.1073	0.2041
cg00186701	0.3836	0.9246	0.8937
cg00186954	0.6646	0.9269	0.1717
cg00187380	0.687	0.0266	0.0441
cg00191052	0.9642	0.5999	0.4732
cg00197381	0.0448	0.0348	0.0722
cg00197641	0.0618	0.0709	0.0794
cg00199549	0.9159	0.4401	0.7906
cg00200063	0.0302	0.0355	0.0446
cg00202702	0.3922	0.049	0.1435
cg00202711	0.41	0.902	0.1668
cg00206052	0.0526	0.0417	0.0634
cg00207534	0	0	0
cg00208830	0.4351	0.4362	0.5838
cg00209066	0.7736	0.9202	0.924
cg00209951	0.0499	0.0421	0.053
cg00210842	0.0519	0.0239	0.039
cg00211661	0.3141	0.0461	0.0526
cg00213044	0.2621	0.4881	0.3963
cg00213331	0.856	0.9427	0.9283
cg00214855	0.0568	0.0548	0.0533
cg00215066	0.8751	0.9447	0.8994
cg00216361	0.1011	0.8073	0.1974
cg00216758	0.0949	0.1069	0.1366
cg00217795	0.6548	0.9113	0.7101
cg00223186	0.0477	0.0442	0.0384
cg00223950	0.0858	0.0885	0.1033
cg00224234	0.0575	0.0564	0.0798
cg00224508	0.0577	0.0442	0.0532
cg00226923	0.4885	0.8855	0.7188
cg00228799	0.0467	0.0607	0.0851
cg00229387	0.0432	0.6187	0.0871
cg00230271	0.0429	0.0578	0.05
cg00230368	0.058	0.0647	0.0808
cg00230502	0.352	0.7932	0.1826
cg00230685	0.0338	0.0312	0.2378
cg00231140	0.2459	0.14	0.1499
cg00231644	0.6802	0.6537	0.1299
cg00231920	0.0821	0.0768	0.1069
cg00233307	0.1832	0.3182	0.3304
cg00234616	0.1026	0.867	0.7926
cg00236832	0.1043	0.0506	0.8379
cg00237010	0.7702	0.9459	0.8264
cg00239071	0.5214	0.9035	0.8778
cg00239685	0.0568	0.095	0.1068
cg00240432	0.9051	0.0709	0.236
cg00241355	0.0707	0.059	0.096
cg00243313	0.4374	0.0344	0.0496
cg00247489	0.3628	0.0654	0.1378
cg00250430	0.5497	0.3321	0.0552
cg00253200	0.0535	0.0464	0.0363
cg00256074	0.2748	0.9201	0.5757
cg00256166	0.0505	0.0808	0.0552
cg00256281	0.0539	0.0414	0.0796
cg00259755	0.1705	0.8962	0.6313
cg00261552	0.0515	0.0475	0.0584
cg00261781	8e-04	0.0427	0.0074
cg00262415	0.0343	0.0502	0.0648
cg00263760	0.8392	0.0445	0.1802
cg00265415	0.0491	0.0433	0.0803
cg00265490	0.0481	0.0609	0.0397
cg00268009	0.0309	0.0298	0.0404
cg00268338	0.4326	0.0585	0.1029
cg00269115	0.0385	0.024	0.0402
cg00273068	0.2098	0.6119	0.2426
cg00273124	0.813	0.8185	0.7859
cg00274399	0.07	0.0828	0.0703
cg00275232	0.0048	0.0157	0.0125
cg00276797	0.0402	0.0361	0.0537
cg00278366	0.2202	0.1627	0.5744
cg00279797	0.07	0.0493	0.0564
cg00282347	0.6956	0.9704	0.9348
cg00282683	0.0753	0.0457	0.082
cg00283535	0.2134	0.9533	0.8103
cg00288562	0.0233	0.0268	0.0667
cg00290028	0.0474	0.0792	0.1126
cg00290506	0.8685	0.9307	0.0893
cg00291877	0.0545	0.0504	0.1032
cg00292662	0.0712	0.077	0.082
cg00292971	0.3772	0.9196	0.8057
cg00293409	0.4681	0.8969	0.5688
cg00295206	0.0575	0.0702	0.0772
cg00295325	0.3944	0.8752	0.7058
cg00297584	0.0486	0.1376	0.0616
cg00298357	0.6604	0.8221	0.8041
cg00302793	0.1074	0.1026	0.1321
cg00303548	0.8412	0.0347	0.0266
cg00307685	0.749	0.9139	0.8608
cg00308133	0.1632	0.4246	0.0153
cg00308665	0.102	0.9277	0.4973
cg00309056	0.1135	0.4266	0.1112
cg00309204	0.0263	0.0373	0.0458
cg00311768	0.0749	0.296	0.3576
cg00312919	0.0477	0.453	0.0651
cg00314943	0.8747	0.8891	0.8257
cg00315936	0.0502	0.0887	0.0453
cg00317680	0.0796	0.1089	0.1842
cg00318573	0.4154	0.7681	0.2123
cg00318865	0.0579	0.0451	0.073
cg00319761	0.0156	0.0174	0.0488
cg00320243	0.0891	0.0741	0.1333
cg00321065	0.0319	0.0376	0.0394
cg00321478	0.7042	0.9247	0.7307
cg00323915	0.0652	0.9353	0.0612
cg00324733	0.1126	0.0736	0.1188
cg00327185	0.0362	0.0399	0.043
cg00328227	0.076	0.0517	0.9146
cg00331237	0.3247	0.0464	0.0462
cg00331433	0.0836	0.1075	0.143
cg00332153	0.7351	0.8972	0.5948
cg00332745	0.0559	0.0518	0.0794
cg00333226	0.8716	0.4615	0.3024
cg00333528	0.2985	0.9031	0.512
cg00334507	0.3128	0.9373	0.7597
cg00335286	0.0965	0.4425	0.3366
cg00336605	0.0438	0.0487	0.0483
cg00338702	0.9088	0.521	0.1302
cg00338893	0.0324	0.0301	0.0332
cg00342530	0.3328	0.8027	0.3002
cg00343092	0.0301	0.0249	0.048
cg00344358	0.6821	0.8578	0.8443
cg00344372	0.6698	0.8436	0.8394
cg00344709	0.4469	0.7953	0.3577
cg00346145	0.0794	0.1361	0.1149
cg00347904	0.214	0.9907	0.9989
cg00350296	0.5667	0.9147	0.8064
cg00350478	0.3167	0.8349	0.2554
cg00350702	0.0518	0.0498	0.0737
cg00351011	0.2401	0.0473	0.1066
cg00354258	0.5368	0.883	0.4942
cg00354572	0.1056	0.8603	0.7436
cg00355802	0.0288	0.0349	0.0485
cg00359325	0.0699	0.0624	0.1374
cg00359973	0.0399	0.0386	0.0581
cg00363813	0.8492	0.8843	0.081
cg00364814	0.7751	0.938	0.8984
cg00367281	0.1122	0.8708	0.5036
cg00367438	0.1263	0.115	0.0757
cg00368022	0.0426	0.0623	0.0894
cg00368415	0.0543	0.0545	0.0667
cg00371195	0.9254	0.9273	0.8595
cg00374717	0.7441	0.9447	0.9231
cg00375964	0.0213	0.0462	0.0453
cg00376639	0.0363	0.0377	0.0468
cg00380464	0.0673	0.0603	0.1515
cg00381076	0.213	0.0494	0.0868
cg00382515	0.0617	0.0293	0.0474
cg00386408	0.2031	0.0205	0.035
cg00387170	0.084	0.2217	0.171
cg00392257	0.1072	0.2566	0.0847
cg00393585	0.9847	0.9838	0.0741
cg00394658	0.4584	0.8389	0.7881
cg00396163	0.2619	0.0184	0.0165
cg00396894	0.1117	0.8814	0.4294
cg00397740	0.0467	0.0378	0.0611
cg00398048	0.7511	0.4868	0.4576
cg00399483	0.7324	0.9603	0.1904
cg00400263	0.878	0.9047	0.9025
cg00402366	0.0574	0.382	0.0431
cg00404599	0.8597	0.8954	0.5223
cg00405070	0.0638	0.0574	0.061
cg00405568	0.0308	0.0392	0.0385
cg00406844	0.2192	0.8907	0.3666
cg00407150	0.2437	0.876	0.4687
cg00410419	0.0957	0.0792	0.105
cg00410898	0.0573	0.0929	0.0646
cg00411097	0.0806	0.0658	0.6222
cg00412772	0.0584	0.0483	0.7308
cg00412805	0.757	0.9546	0.8932
cg00415978	0.1865	0.061	0.6754
cg00415993	0.7899	0.1522	0.2764
cg00417297	0.0434	0.0241	0.0352
cg00418150	0.4053	0.6188	0.8573
cg00419564	0.0377	0.0402	0.0536
cg00420568	0.1577	0.1446	0.0876
cg00420715	0.0482	0.0394	0.0433
cg00420929	0.5285	0.7875	0.2937
cg00422913	0.0475	0.0463	0.0706
cg00424946	0.0414	0.0279	0.0559
cg00425710	0.6405	0.9148	0.8271
cg00425792	0.1037	0.0828	0.1223
cg00426056	0.1037	0.075	0.0466
cg00426498	0.1266	0.0646	0.0724
cg00426963	0.0278	0.0607	0.0223
cg00429618	0.1871	0.3409	0.0689
cg00430287	0.9061	0.9255	0.9123
cg00431050	0.4265	0.3475	0.2444
cg00431549	0.7531	0.9689	0.2378
cg00432979	0.0303	0.0269	0.0301
cg00433406	0.4806	0.9464	0.6088
cg00434413	0.9668	0.947	0.9352
cg00435408	0.0315	0.0593	0.0333
cg00436282	0.9147	0.2766	0.8721
cg00436301	0.0458	0.0565	0.0548
cg00436603	0.2162	0.8876	0.4778
cg00441382	0.0567	0.038	0.0775
cg00443307	0.1986	0.7974	0.531
cg00445824	0.2908	0.0825	0.6291
cg00446235	0.0341	0.0312	0.9103
cg00447208	0.8275	0.8172	0.7969
cg00448720	0.1727	0.8794	0.8111
cg00449941	0.0439	0.0472	0.048
cg00451635	0.1547	0.5665	0.4116
cg00453193	0.03	0.0441	0.0531
cg00453258	0.321	0.3178	0.6091
cg00459975	0.0689	0.0725	0.0771
cg00461841	0.8896	0.7603	0.924
cg00462311	0.0346	0.049	0.2941
cg00462994	0.0828	0.0487	0.8838
cg00463202	0.8535	0.9199	0.8693
cg00463577	0.4369	0.0546	0.9386
cg00463848	0.1711	0.933	0.0584
cg00464269	0.0386	0.0348	0.0619
cg00465284	0.5747	0.9102	0.0816
cg00466249	0.6656	0.5507	0.6623
cg00466544	0.0657	0.0403	0.0731
cg00468146	0.3179	0.086	0.1215
cg00469635	0.0032	0.0144	0.0055
cg00471562	0.0652	0.0967	0.0982
cg00472814	0.8438	0.0408	0.0547
cg00474004	0.1862	0.9067	0.3211
cg00474209	0.3331	0.0671	0.1393
cg00475955	0.0246	0.0328	0.0543
cg00476580	0.2868	0.069	0.1244
cg00479269	0.0207	0.0522	0.065
cg00480115	0.0737	0.0402	0.3221
cg00480209	0.0609	0.0595	0.0837
cg00480356	0.1372	0.0773	0.1865
cg00483154	0.0369	0.0497	0.0665
cg00485296	0.0467	0.2014	0.0723
cg00485380	0.0495	0.039	0.0467
cg00487159	0.0554	0.0611	0.0963
cg00488364	0.8691	0.2749	0.419
cg00488718	0.0424	0.0527	0.0502
cg00489401	0.4342	0.9162	0.7428
cg00491404	0.0583	0.8622	0.6749
cg00491839	0.0825	0.0695	0.1251
cg00493400	0.0432	0.0487	0.0514
cg00495415	0.0403	0.0212	0.0375
cg00495442	0.0556	0.0856	0.0569
cg00496170	0.0471	0.0609	0.0425
cg00497084	0.4977	0.934	0.8625
cg00497251	0.1017	0.2997	0.2238
cg00498305	0.1507	0.8498	0.1563
cg00498604	0.8875	0.621	0.1553
cg00499599	0.0786	0.0822	0.0854
cg00499822	0.4436	0.8843	0.5035
cg00500400	0.0858	0.1375	0.1019
cg00502442	0.0035	0.0173	0.0012
cg00503458	0.0857	0.1027	0.0415
cg00503840	0.448	0.8169	0.8386
cg00504595	0.1201	0.2436	0.0576
cg00509616	0.0753	0.8689	0.1167
cg00510787	0.0297	0.0246	0.0372
cg00510956	0.9757	0.9553	0.9334
cg00511475	0.4047	0.8489	0.5785
cg00512279	0.7988	0.8888	0.4302
cg00512374	0.42	0.0557	0.0857
cg00513220	0.3661	0.174	0.821
cg00513467	0.2059	0.1238	0.1129
cg00514407	0.8142	0.8284	0.0471
cg00514895	0.0268	0.1551	0.0324
cg00515905	0.0445	0.9201	0.8778
cg00516481	0.4581	0.8937	0.767
cg00518989	0.0462	0.0403	0.0522
cg00519208	0.89	0.9145	0.9152
cg00519627	0	9e-04	0.0098
cg00520135	0.4916	0.9099	0.9183
cg00520708	0.0985	0.1449	0.0916
cg00521434	0.3128	0.9075	0.7257
cg00521598	0.0644	0.0783	0.0343
cg00522034	0.02	0.0323	0.0243
cg00522316	0.0639	0.064	0.1029
cg00524288	0.0635	0.0521	0.0868
cg00528052	0.0436	0.0783	0.0932
cg00528967	0.0192	0.0178	0.0517
cg00532335	0.0709	0.7898	0.3602
cg00532890	0.0224	0.058	0.1599
cg00534274	0.0337	0.0369	0.0341
cg00536175	0.1084	0.8814	0.5311
cg00537910	0.87	0.906	0.9216
cg00539322	0.7253	0.9481	0.8558
cg00539716	0.1025	0.0897	0.1245
cg00540544	0.0556	0.0597	0.0933
cg00544557	0.2858	0.91	0.7486
cg00545573	0.0799	0.0954	0.0892
cg00546491	0.6893	0.9178	0.0894
cg00546897	0.0947	0.098	0.5906
cg00547018	0.0809	0.0823	0.0864
cg00547789	0.7216	0.0704	0.0763
cg00547829	0.0531	0.0306	0.0448
cg00548060	0.4009	0.9346	0.8172
cg00548268	0.7081	0.8819	0.5185
cg00554250	0.8992	0.9255	0.7614
cg00554682	0.5667	0.9217	0.0965
cg00554702	0.0927	0.0751	0.0606
cg00556408	0.4983	0.8758	0.5691
cg00557354	0.5673	0.3617	0.1367
cg00559473	0.0739	0.0538	0.0652
cg00560119	0.1734	0.1495	0.0837
cg00563229	0.0353	0.037	0.858
cg00563845	0.075	0.6472	0.1583
cg00563926	0.9158	0.9219	0.9295
cg00563932	0.3906	0.8502	0.5322
cg00564163	0.8291	0.9009	0.676
cg00565075	0.0815	0.0646	0.1956
cg00565688	1	0.6862	0.9948
cg00566759	0.1371	0.034	0.3275
cg00567479	0.0142	0.0142	0.0187
cg00567749	0.1429	0.0974	0.0404
cg00568128	0.0718	0.0666	0.0765
cg00568792	0.0575	0.0397	0.0881
cg00569620	0.0594	0.0467	0.0627
cg00571634	0.0503	0.0331	0.0523
cg00573606	0.2947	0.8724	0.8736
cg00575744	0.0881	0.5171	0.0823
cg00576250	0.097	0.9	0.0724
cg00577464	0.3447	0.2985	0.072
cg00579393	0.5082	0.7739	0.0275
cg00579402	0.1227	0.8509	0.6211
cg00581156	0.0488	0.0461	0.0618
cg00584022	0.059	0.0834	0.0856
cg00585790	0.6111	0.9194	0.9058
cg00585846	0.0435	0.049	0.0388
cg00586909	0.0323	0.0471	0.0347
cg00587613	0.5969	0.8251	0.7043
cg00592315	0.4522	0.909	0.6185
cg00594118	0.107	0.0803	0.1293
cg00594952	0.5962	0.8334	0.8247
cg00597076	0.2452	0.7509	0.7562
cg00598858	0.0378	0.0332	0.0552
cg00600684	0.8771	0.8805	0.9399
cg00601486	0.2876	0.8976	0.4945
cg00602891	0.0601	0.0588	0.0744
cg00605270	0.1227	0.4877	0.1576
cg00609097	0.0399	0.0359	0.0375
cg00611397	0.8561	0.892	0.8977
cg00612467	0.1088	0.055	0.1061
cg00613255	0.2317	0.873	0.1375
cg00615377	0.0728	0.0543	0.0884
cg00615915	0.0597	0.0369	0.056
cg00616129	0.0512	0.0517	0.083
cg00616369	0	0.0014	0.0064
cg00617305	0.1289	0.5382	0.0775
cg00618396	0.0526	0.019	0.0467
cg00619207	0.0568	0.8811	0.4773
cg00620223	0.048	0.0648	0.0639
cg00620629	0.0082	1e-04	0.0045
cg00622552	0.1514	0.0341	0.7427
cg00622677	0.5788	0.0353	0.0544
cg00623593	0.8711	0.806	0.8877
cg00625425	0.2569	0.9143	0.5719
cg00625653	0.5245	0.0602	0.2079
cg00626119	0.5521	0.8806	0.7592
cg00626466	0.7666	0.274	0.2863
cg00629217	0.9261	0.7778	0.9265
cg00630164	0.197	0.9889	0.9933
cg00630249	0.0554	0.0545	0.0757
cg00630583	0.0125	0.0179	0.0237
cg00631230	0.0303	0.0329	0.0706
cg00633969	0.7436	0.9359	0.9426
cg00635481	0.0645	0.0763	0.0439
cg00636639	0.0374	0.0254	0.0259
cg00638514	0.4007	0.8824	0.3305
cg00642303	0.083	0.0795	0.0861
cg00644033	0.2823	0.847	0.1839
cg00645579	0.8152	0.8863	0.8859
cg00645922	0.033	0.0333	0.0461
cg00646140	0.0592	0.7495	0.2477
cg00646492	0.5233	0.3507	0.1578
cg00648153	0.0675	0.0654	0.0383
cg00648883	0.4693	0.8929	0.2427
cg00650762	0.1004	0.0051	0
cg00650876	0.0445	0.035	0.043
cg00651216	0.1185	0.3832	0.0844
cg00653387	0.0347	0.6488	0.5853
cg00654814	0.778	0.0485	0.3266
cg00655307	0.2624	0.9325	0.266
cg00657095	0.0603	0.048	0.0615
cg00657582	0.1594	0.188	0.1897
cg00658007	0.1009	0.8274	0.4167
cg00658626	0.1116	0.096	0.3077
cg00659129	0.1063	0.9149	0.9242
cg00659953	0.0543	0.0507	0.088
cg00660989	0.421	0.2908	0.0483
cg00661202	0.0516	0.0425	0.0832
cg00662556	0.8248	0.9333	0.5627
cg00665395	0.0915	0.0679	0.0918
cg00666446	0.0686	0.0949	0.0675
cg00666746	0.3419	0.6084	0.292
cg00668685	0.5127	0.8152	0.7685
cg00669623	0.0986	0.0735	0.1429
cg00669856	0.0292	0.0578	0.023
cg00671161	0	0.0052	0.0043
cg00672638	0.154	0.1168	0.1014
cg00673191	0.0518	0.9151	0.6244
cg00676660	0.0469	0.3246	0.0368
cg00677811	0.0449	0.0402	0.027
cg00678539	0.4693	0.1358	0.4203
cg00679556	0.1589	0.8073	0.567
cg00679738	0.0612	0.0417	0.0888
cg00682653	0.0132	0.0146	0.0197
cg00685836	0.2171	0.8475	0.0557
cg00686022	0.7929	0.8541	0.8716
cg00686623	0.0869	0.0825	0.1238
cg00687686	0.8469	0.9115	0.8643
cg00688421	0.0414	0.0457	0.0982
cg00689340	0.057	0.064	0.9333
cg00690049	0.6676	0.6829	0.3645
cg00690280	0.0493	0.7791	0.0251
cg00691625	0.3125	0.8386	0.6506
cg00692549	0.039	0.0676	0.0649
cg00695416	0.0794	0.0743	0.0999
cg00698688	0.0242	0.5245	0.9213
cg00702231	0.6772	0.5794	0.6375
cg00702729	0.7219	0.9247	0.941
cg00704310	0.0506	0.0436	0.0797
cg00704909	0.0634	0.0823	0.1025
cg00705255	0.1225	0.366	0.1826
cg00707317	0.6017	0.9004	0.1336
cg00708598	0.5115	0.8904	0.884
cg00708642	0.065	0.0567	0.0426
cg00711916	0.0757	0.1042	0.131
cg00712898	0.0012	0.0144	0.0095
cg00714377	0.0859	0.8445	0.2768
cg00717862	0.0513	0.0488	0.0696
cg00718440	0.0803	0.075	0.4109
cg00718513	0.0914	0.1452	0.0814
cg00718748	0.0513	0.0593	0.07
cg00720072	0.0899	0.0901	0.1147
cg00720137	0.2483	0.0574	0.076
cg00720723	0.0568	0.0298	0.0575
cg00722300	0.0866	0.9698	0.7027
cg00724662	0.0933	0.0709	0.1131
cg00725635	0.5027	0.0929	0.0404
cg00725777	0.0894	0.9313	0.5693
cg00727590	0.0401	0.6991	0.1612
cg00728317	0.8069	0.6267	0.3663
cg00728602	0.1082	0.1041	0.13
cg00729275	0.2116	0.5892	0.1367
cg00729541	0.0505	0.0865	0.0658
cg00729875	0.4981	0.0513	0.8528
cg00730260	0.5519	0.9134	0.819
cg00731459	0.032	0.0255	0.0247
cg00733682	0.0349	0.8402	0.0564
cg00734993	0.0394	0.0245	0.0611
cg00736326	0.0471	0.0409	0.0453
cg00737514	0.0774	0.0404	0.0584
cg00739120	0.6409	0.7883	0.1764
cg00741717	0.2536	0.9531	0.0319
cg00743372	0.0334	0.0256	0.0343
cg00744433	0.5084	0.085	0.9322
cg00745543	0.3052	0.9163	0.5464
cg00745735	0.158	0.9575	0.9036
cg00746083	0.0366	0.0554	0.0583
cg00746130	0.0469	0.0311	0.0577
cg00746981	0.3269	0.0708	0.1386
cg00747849	0.0406	0.0719	0.0573
cg00751288	0.0544	0.0492	0.0544
cg00754617	0.9121	0.937	0.658
cg00755043	0.0495	0.0587	0.2939
cg00756058	0.9726	0.0055	0.0081
cg00756887	0.2733	0.8956	0.6038
cg00757070	0.052	0.4133	0.0847
cg00757952	0.0628	0.4992	0.1131
cg00761755	0.065	0.0564	0.0696
cg00762512	0.061	0.0508	0.0651
cg00763679	0.0579	0.0671	0.0754
cg00763889	0.8721	0.9323	0.544
cg00766729	0.05	0.0615	0.0605
cg00766889	0.0704	0.0689	0.1107
cg00767581	0.1344	0.7866	0.9095
cg00768439	0.6223	0.8989	0.1125
cg00769470	0.367	0.8769	0.0652
cg00769520	0.8405	0.0436	0.0681
cg00770279	0.0332	0.0174	0.0414
cg00770871	0.0017	0.0021	7e-04
cg00772000	0.4342	0.0439	0.3186
cg00775197	0.8506	0.8785	0.5505
cg00777121	0.0881	0.0609	0.8663
cg00777555	0.0768	0.051	0.0596
cg00778920	0.0801	0.1659	0.0957
cg00779924	0.396	0.9029	0.9007
cg00782174	0.0664	0.0669	0.0473
cg00782854	0.095	0.0922	0.0839
cg00783759	0.0198	0.0198	0.0133
cg00784357	0.065	0.0582	0.0782
cg00791249	0.0746	0.0662	0.0936
cg00792687	0.0588	0.0347	0.0616
cg00792740	0.0515	0.0462	0.0561
cg00792849	0.6401	0.9187	0.193
cg00793774	0.0914	0.0805	0.1319
cg00795268	0.411	0.9289	0.9166
cg00796728	0.2243	0.2965	0.8189
cg00798206	0.0501	0.0422	0.0627
cg00800095	0.8955	0.9028	0.8629
cg00804048	0.0225	0.022	0.0088
cg00804392	0.9218	0.9271	0.8964
cg00806490	0.3621	0.0783	0.1168
cg00807586	0.0902	0.3145	0.7292
cg00808492	0.1305	0.9433	0.9114
cg00810495	0.0672	0.0586	0.0235
cg00811081	0.0192	0	0.0032
cg00812502	0.0068	0.0151	0.0152
cg00815440	0.0122	0.363	0.016
cg00815583	0.0909	0.0534	0.0333
cg00818693	0.3199	0.1357	0.1353
cg00818872	0.2373	0.1314	0.0645
